"Species"	"subiculum_mm3"	"CA1_mm3"	"CA2_mm3"	"CA3_mm3"	"hilus_mm3"	"fascia_dentata_mm3"
"Tenrec ecaudatus"	7.5	32.11	6.49	39.7	8	30.73
"Setifer setosus"	5.83	21.24	5.67	25.79	6.63	19.87
"Hemicentetes semispinosus"	1.34	12.1	2.81	19.03	3.32	14.16
"Echinops telfairi"	2	12.21	3.11	13.67	2.3	8.72
"Microcebus murinus"	5.99	30.45	2.33	23.82	4.48	20.9
"Cheirogaleus major"	18.9	107.42	8.32	92.66	13.22	61.26
"Cheirogaleus medius"	9.97	54.4	4.72	44.89	6.19	30.44
"Lemur albifrons"	62.23	258.65	19.52	171.72	37.46	106.06
"Varecia variegata"	80.15	410.99	26.84	304.87	118.25	235.85
"Lepilemur ruficaudatus"	31.58	128.48	7.28	78.29	12.62	61.3
"Avahi laniger laniger"	48.13	178.89	15.29	112.49	24.93	78.82
"Avahi l. occidentalis"	41.61	175.41	9.13	90.39	30.86	72.03
"Propithecus verreauxi"	72.19	361.75	18.7	217.12	70.93	141.39
"Indri indri"	98.11	477.66	35.77	336.04	57.87	165.35
"Daubentonia madagascariensis"	100.01	577.11	35.54	316.55	94.14	324.55
"Loris tardigradus"	12.96	57.6	4.87	49.81	8	33.34
"Nycticebus coucang"	52.63	178.14	17.34	135.76	23.62	91.22
"Perodicticus potto"	48.35	197.36	16.3	139.69	26.62	100
"Galago senegalensis"	23.14	99.58	5.96	52.43	13.48	50.72
"Otolemur crassicaudatus"	42.22	164.58	9.6	78.22	28.14	64.69
"Galagoides demidoff"	13.4	53.7	3.08	28.64	7	24.66
"Tarsius spec."	10.76	51.39	7.03	32.09	5.87	22.74
"Callithrix jacchus"	11.48	73.07	7.49	42.82	12.29	33.34
"Cebuella pygmaea"	7.45	38.83	4.11	26.95	4.49	17.67
"Saguinus midas tamarin"	15.85	78.04	10.95	68.92	13.97	38.98
"Saguinus oedipus"	23.45	85.42	9.66	49.77	9.14	31.55
"Callimico goeldi"	17.57	83.53	7.84	60.81	12.08	49.73
"Cebus albifrons"	43.85	210.19	30.29	146.01	35.87	110.34
"Aotus trivirgatus"	27.43	150.16	20.83	97.14	33.52	76.23
"Callicebus moloch"	42.71	174.88	22.9	129.11	37.33	79.44
"Saimiri sciureus"	17.58	79.82	13.7	66.43	21.07	49.78
"Pithecia monachus"	41.63	259.52	31.78	154.43	56.38	102.44
"Alouatta seniculus"	117.67	362.93	56.59	236.05	67.88	163.64
"Ateles geoffroyi"	72.63	388.3	51.79	263.35	69.29	150.28
"Lagothrix lagothricha"	78.34	400.11	49.57	332.56	73.93	192.28
"Cercocebus albigena"	73.47	395.87	38.15	304.2	69.9	156.25
"Papio anubis"	156.72	800.97	66.37	564.35	178.36	312.25
"Cercopithecus ascanius"	77.57	362.05	23.02	240.6	85.7	150.46
"Cercopithecus mitis"	77.48	378.84	30.44	288.47	86.05	125.58
"Miopithecus talapoin"	41.31	183.4	15.31	134.6	51.91	87.59
"Erythrocebus patas"	76.65	345.54	39.46	327.74	101.09	195.13
"Colobus badius"	129.2	615.79	38.44	323.72	156.77	185.28
"Pygathrix nemaeus"	117.14	786.6	44.48	420.73	227.64	253.07
"Nasalis larvatus"	113.27	546.36	69.39	370.1	142.29	205.69
"Hylobates lar"	139.39	866.51	76.73	547	226.25	372.03
"Pan troglodytes"	266.58	1166.33	85.7	622.88	235.43	386.54
"Gorilla gorilla"	191.7	1405.57	130.65	951.51	210.02	415.98
"Homo sapiens"	821.76	2793.05	229.52	2357.63	397.17	834.47
