"Species"	"common_name"	"specimen"	"structure"	"hemisphere"	"method"	"surface_area_mm2"	"body_mass_g"	"note"	"source"
"Callithrix jacchus"	"marmoset"	"single female, 500 g; model reconstructed from the Paxinos et al. 2012 marmoset atlas"	"cerebral cortex"	"one hemisphere (not stated; single-hemisphere CARET model)"	"mid-thickness contour surface model in CARET; serial reconstruction from coronal sections"	963	500	"n=1; mid-thickness (not pial) surface"	"Chaplin_etal_2013_ResultsText"
"Cebus apella"	"capuchin"	"single male, 3.3 kg; unpublished Gattass-lab histology dataset"	"cerebral cortex"	"one hemisphere (not stated; single-hemisphere CARET model)"	"mid-thickness contour surface model in CARET; serial reconstruction from coronal sections"	6796	3300	"n=1; corrected for post-fixation shrinkage but NOT perfusion shrinkage - possible slight underestimate; mid-thickness surface"	"Chaplin_etal_2013_ResultsText"
"Macaca mulatta"	"rhesus macaque"	"F99 atlas individual (Van Essen 2004); body mass not reported"	"cerebral cortex"	"one hemisphere (F99 is a single-hemisphere atlas model)"	"mid-thickness contour surface model in CARET; serial reconstruction from coronal sections"	11876	NA	"n=1; atlas specimen widely reused across the literature - check specimen crosswalk before treating as independent of other F99-derived values; mid-thickness surface"	"Chaplin_etal_2013_ResultsText"
