"Species"	"Species_Kazu2014"	"n"	"Body_Mass.g"	"WholeBrain_Mass.g"	"CerebralCortex_Mass.g"	"Hippocampus_Mass.g"	"Cerebellum_Mass.g"	"RoB_Mass.g"	"DiencephalonStriatum_Mass.g"	"Mesencephalon_Mass.g"	"PonsMedulla_Mass.g"	"OlfactoryBulb_Mass.g"	"WholeBrain_N.n"	"CerebralCortex_N.n"	"CerebralCortexGrey_N.n"	"Hippocampus_N.n"	"Cerebellum_N.n"	"RoB_N.n"	"DiencephalonStriatum_N.n"	"Mesencephalon_N.n"	"PonsMedulla_N.n"	"OlfactoryBulb_N.n"	"CerebralCortex_N.p.mg"	"CerebralCortexGrey_N.p.mg"	"Hippocampus_N.p.mg"	"Cerebellum_N.p.mg"	"RoB_N.p.mg"	"DiencephalonStriatum_N.p.mg"	"Mesencephalon_N.p.mg"	"PonsMedulla_N.p.mg"	"OlfactoryBulb_N.p.mg"	"WholeBrain_O.p.N"	"CerebralCortex_O.p.N"	"CerebralCortexGrey_O.p.N"	"Hippocampus_O.p.N"	"Cerebellum_O.p.N"	"RoB_O.p.N"	"DiencephalonStriatum_O.p.N"	"Mesencephalon_O.p.N"	"PonsMedulla_O.p.N"	"OlfactoryBulb_O.p.N"	"body_mass_approximate"	"source_printing"	"parse_flags"	"consistency_flags"
"Antidorcas marsupialis"	"Antidorcas marsupialis"	1	25000	102.102	62.814	3.434	11.458	27.83	13.814	5.304	8.312	1.2	3060000000	375490000	293770000	20480000	2260000000	70480000	40120000	7520000	22840000	16000000	5978	7051	5965	196999	2532	2904	1418	2748	13332	3.251	10.834	7.239	10.111	0.207	18.71	19.408	30.25	13.706	6.576	FALSE	"Kazu et al. 2014 Table 1 as printed; NOT the 2015 corrigendum (10.3389/fnana.2015.00039)"	NA	"M_D+BG+M_MES+M_P+M = 27.430 != M_RoB = 27.830; N_CXT+N_CB+N_RoB = 2.706e+09 != N_BR = 3.06e+09 (-11.6%)"
"Damaliscus pygargus phillipsi"	"Damaliscus dorcas phillipsi"	1	60000	155.066	109.044	NA	13.402	32.62	NA	NA	NA	NA	3900000000	548580000	361950000	NA	2400000000	92240000	NA	NA	NA	58710000	5031	5142	NA	179206	2828	NA	NA	NA	NA	3.989	11.956	8.356	NA	0.184	24.842	NA	NA	NA	NA	FALSE	"Kazu et al. 2014 Table 1 as printed; NOT the 2015 corrigendum (10.3389/fnana.2015.00039)"	NA	"N_CXT+N_CB+N_RoB = 3.041e+09 != N_BR = 3.9e+09 (-22.0%)"
"Giraffa camelopardalis"	"Giraffa camelopardalis"	1	470000	528.026	389.616	7.486	67.73	70.68	33.322	15.928	21.43	2.052	11210000000	1670000000	1330000000	58590000	8880000000	150650000	34320000	26630000	47440000	24680000	4283	5882	7826	131080	2131	1030	1672	2214	12026	3.252	15.949	7.764	10.628	0.622	32.333	38.841	41.017	23.631	9.417	FALSE	"Kazu et al. 2014 Table 1 as printed; NOT the 2015 corrigendum (10.3389/fnana.2015.00039)"	NA	"N_CXT+N_CB+N_RoB = 1.07e+10 != N_BR = 1.121e+10 (-4.5%)"
"Sus scrofa domesticus"	"Sus scrofa domesticus"	1	100000	57.758	35.78	1.928	8.128	13.85	6.728	2.338	4.784	0.822	2220000000	292960000	207750000	12910000	1860000000	58710000	34400000	12430000	11880000	9200000	8118	7375	6695	228632	4238	5113	5317	2483	11187	2.076	10.361	8.544	10.334	0.188	18.682	17.779	15.667	24.452	8.434	TRUE	"Kazu et al. 2014 Table 1 as printed; NOT the 2015 corrigendum (10.3389/fnana.2015.00039)"	"M_BD, kg printed '∼100' — approximate"	"DN_CerebralCortex printed 8118 but N/M = 8187.81 (-0.9%)"
"Tragelaphus strepsiceros"	"Tragelaphus stripceros"	1	218000	308.522	212.004	10.936	31.776	64.742	30.418	15.928	18.396	5.546	6090000000	793070000	615870000	28360000	4040000000	106280000	58880000	26070000	21640000	38330000	3741	4798	2594	127218	1642	1936	1637	1176	6912	2.481	14.625	8.443	17.868	0.313	32.076	31.841	30.546	34.088	8.523	FALSE	"Kazu et al. 2014 Table 1 as printed; NOT the 2015 corrigendum (10.3389/fnana.2015.00039)"	NA	"N_CXT+N_CB+N_RoB = 4.939e+09 != N_BR = 6.09e+09 (-18.9%)"
