source_row	animal_number	common_name	brain_part	stains_used	plane_of_section	age	section_thickness	total_number_of_sections	total_number_of_slides	embedding_medium	slide_size	number_of_sections_stained
1	62-597	Alligator	whole brain	Thionin + Weil	Coronal		25µ	1500	34	Celloidin	3 1/4 x 4	1500, all
2	84-55	Alligator	whole brain	Thionin + Hleidenhain	Horizontal		25µ	330	62	Celloidin	3 1/4 x 4	330, all
3	61-93	Anteater, Lesser	Whole brain	Thionin + Weil	Coronal		25µ	2079	123	Celloidin	3 1/4 x 4	2079, all
4	67-29	Anteater, Greater (Giant Anteater)	Whole brain	Thionin + Heidenhain	Coronal		30µ	2800	221	Celloidin	3 1/4 x 4	2100, 3s + 7s in HH are not stained
5	65-207	Marsupial mouse	Whole brain	Thionin + Heidenhain	Coronal		25µ	600	15	Celloidin	3 1/4 x 4	600, all
6	60-465	Armadillo, Nine banded	Whole Brain	Thionin + Weil	Coronal		25µ	1411	63	Celloidin	3 1/4 x 4	1411, all
7	64-12	Baboon, Guinea		Thionin + Mahon	Coronal		35µ	2004, some loss due to re-embed., see box	450	Celloidin	3 1/4 x 4	2004, every 2nd + 3rd, 1336 total
8	64-149	Baboon, Guinea		Thionin + Weil	Horizontal	7 1/2 years	40µ	1289, in 5 sets	326	Celloidin	3 1/4 x 4	456 ? ( should be 514)
9	63-127	Badger	Whole brain	Thionin + Weil	Coronal	Adult	30µ	2255	222	Celloidin	3 1/4 x 4	2255, all
10	58-427	Bat, big brown		Thionin + Weil	Coronal		20µ	469	14	Celloidin	3 1/4 x 4	469, all
11	59-57	Bat, little brown		Thionin	Coronal		25µ	410	8	Celloidin	3 1/4 x 4	410, all
12	62-127	Bat, little brown		Thionin + Heidenhain	Coronal		20µ	499	11	Celloidin	3 1/4 x 4	499, all
13	61-617	Bat, fruit eating = Flying Fox		Thionin + Weil	Coronal		25µ	1548	57	Celloidin	3 1/4 x 4	1548, all
14	61-795	Bat, lesser horseshoe		Thionin + Weil	Coronal		15µ	525	8	Celloidin	3 1/4 x 4	525, all
15	62-125	Bat, greater horseshoe		Thionin + Heidenhain	Sagittal		20µ	356	20	Celloidin	2 x 3	356, all
16	62-256	Bear, Polar		Thionin + Weil	Coronal		40µ	3101	716	Celloidin	3 1/4 x 4	1222
17	No Number (Kodiak Bear)	Bear, Kodiak	3 blocks	Heidenhain	Coronal		50µ	682	63	Celloidin	3 1/4 x 4	682, all
18	63-168	Beaver, American		Thionin + Weil	Coronal		25µ	2460	148	Celloidin	3 1/4 x 4	2460, all
19	68-455	Beaver, American		Thionin + Heidenhain	Horizontal		25µ	830	244	Celloidin	3 1/4 x 4	830, all
20	64-103	Beaver, mountain		Thionin + Mahon-Modification	Coronal		25µ	1400	45	Celloidin	3 1/4 x 4	1400, all
21	64-99	Beaver, mountain		Thionin + Heidenhain	Sagittal		25µ	890	46	Celloidin	3 1/4 x 4	890, all
22	60-227	Camel, dromedary	3 blocks	Thionin + Heidenhain	coronal		Block 1 30µ, Block 2 30+40µ, Block 3 30µ	4302	422	Celloidin	3 1/4 x 4	Every 5th Thionin, every 10th Heidenhain
23	59-490	Capybara		Thionin + Heidenhain	Coronal		20µ	3050	258	Celloidin	3 1/4 x 4 + 2 x 3	3050, all
24	61-248	Capybara		Thionin + Weil	Coronal		40µ	1730	144	Celloidin	3 1/4 x 4	1730, all
25	60-23	Capybara		Thionin + Weil	Horizontal		20µ	1151	87	Celloidin	3 1/4 x 4	every 10s + 11s
26	62-621	Capybara		Thionin + Weil	Coronal		30µ	2060		Celloidin	3 1/4 x 4	2060, all
27	60-58 R	Capybara		Thionin + Weil	Sagittal		20µ	861	60	Celloidin	2 x 3	every 10s + 11s
28	55-10	Cat, domestic		Thionin	Coronal		25µ	1924	105	Celloidin	3 1/4 x 4	Even #s + 10s
29	55-75	Cat, domestic		Thionin + Weil	Horizontal		30µ	776	157	Celloidin	3 1/4 x4	776 less 10s
30	56-17	Cat, domestic		Thionin + Weil	Sagittal		30µ	1055	188	Celloidin	3 1/4 x 4 + 2x3	1055, all
31	A118R (L on record# 688)	Cat, domestic		Golgi-Kopsch			?	66	15		2x3	66
32	59-346	Cat, domestic		Golgi	Coronal		?	15	4	?	2x3	15
33	68-302L (R on record# 689)	Cat, domestic	3 blocks	Golgi-Cox	Coronal		?	112	29	?	2x3	112
34	A63.2	Cat, domestic		Thionin + Heidenhain	Coronal		30µ	393	33		2x3	393, all
35	61-653	Cat, domestic	Newborn Kitten	Thionin (every section less 10s)+ Heidenhain	Coronal		20µ	512	22		2x3	512, all
36	53-40	Cat, Domestic		Thionin + Weil	Coronal		50µ	625	148	Celloidin	2x3	Every 5th and 6th
37	65-255	Cat, domestic		Thionin + Heidenhain	Sagittal		25µ to midline, then 30µ	1290	100	Celloidin	3 1/4 x 4	990, every other Thionin + Heidenhain
38	66-142	Cat, domestic		Thionin + Heidenhain	Special		25µ	469	16	Celloidin	3 1/4 x 4	469, all
39	65-20	Cat, domestic		Thionin + Heidenhain	Coronal		30µ	1500	72	Celloidin	3 1/4 x 4	All evens Thionin, some odds Heidenhain
40	A267 Block I + II	Cat, domestic		Thionin	Block I coronal, Block II sagittal		30µ	Block I 484, block II 268	Block I 12, block II 7	Celloidin	3 1/4 x 4	Block I every other, block II every other
41	68-140	Cat, domestic	3 blocks of cortex	1=Nauta, 2+4=Cresylviolet	Coronal		Block 1 12µ, block 2+4 50µ	Block 1 386, block 2 39, block 3 56	27		2x3	Block 1 76, block 2 39, block 4 56
42	68-311	Cat, domestic		Nauta + Thionin	Coronal		12µ	1160	28		2x3	116, every 10s Thionin, every 11s Nauta
43	62-408	Cat, domestic ( Ontogeny)		Thionin	Coronal	Infant	15µ	677	2	Paraffin	3 1/4x4	677, all
44	62-200	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	15µ	536	3	Paraffin	3 1/4x4	Every 5th
45	62-217	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	15µ	610	3	Paraffin	3 1/4x4	Every 5th
46	62-177	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	15µ	730	5	Paraffin	3 1/4x4	Every 5th
47	62-230	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	15µ	940	4	Paraffin	3 1/4 x 4	Every 5th
48	62-166	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	15µ	1580	11	Paraffin	3 1/4x4	Every 10th
49	62-241	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	15µ	1750	14	Paraffin	3 1/4x4	Every 10th
50	62-243	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	15µ	2130	18	Paraffin	3 1/4x4	Every 10th
51	64-90	Cat, domestic (Ontogeny)		Thionin	Coronal	infant	20µ	1980	17	Paraffin	3 1/4 x 4	Every 10th
52	55-67	Chicken, white leghorn rooster		Thionin + Weil	Coronal		25µ	802	54	Celloidin	3 1/4x4 (43) + 2x3 (11)	All, every other + 10s
53	55-94	Chicken, white leghorn rooster		Thionin + Weil	Horizontal		25µ	458	32	Celloidin	3 1/4x4 (26) + 2x3 (6)	All, every other +10s,
54	55-95	Chicken, white leghorn rooster		Thiionin + Weil	Sagittal		25µ	624	42	Celloidin	31/4x4 (35) + 2x3 (7)	All, every other + 10s
55	72-153	Chicken, white leghorn, Exp.		Thionin + Heidenhain	Coronal		20µ	554	12	Celloidin	3 1/4x4	All, every other
56	3	Chimpanzee	1 hemisphere =not clear if R or L	Thionin	Horizontal		?	211 = this might be every 10th section?	98	Celloidin	3 1/4 x4	211
57	4	Chimpanzee		Thionin	Sagittal		40µ	771	68	Celloidin	3 1/4x4	Every 10th
58	56-5	Chimpanzee		Thionin	Coronal		50µ	1820	125	Celloidin	3 1/4x4	Every 10th
