"search_id"	"sex_file"	"Sex_reported"	"habitat_type"	"Reference"	"Full_Reference"	"SpeciesName_Reported"	"CommonName_Reported"	"species_sci"	"Sleep_h_day"	"Sleep_h_day_drowsy_adj"	"REM_h"	"NREM_h"	"Sleep_cycle_min"	"REM_sleep_pct"	"Sleep_h_day_in_water"	"Sleep_h_day_on_land"	"REM_h_in_water"	"REM_h_on_land"	"NREM_h_in_water"	"NREM_h_on_land"	"USWS"	"BSWS"	"ASWS"	"N_reported"	"N_in_mean"	"Animals_sampled"	"EEG"	"Telemetry"	"Twenty_four_hour"	"Light"	"Adaptation"	"Diet_condition"	"Temperature"	"Restraint"	"Behavioural"	"Lab_condition_score"	"Summary_age_class"	"Monophasic_polyphasic"	"Error"	"Error_Note"	"Notes_Misc"	"Data_came_from"	"Post1988"
157	"Female"	"F"	"Marine"	"Lyamin & Chetyrbok, 1992"	"Lyamin, O. I., & Chetyrbok, I. S. (1992). Unilateral EEG Activation During Sleep In The Cape Fur Seal, Arctocephalus Pusillus. Neuroscience Letters, 143(1-2), 263-266."	"Arctocephalus Pusillus"	"Cape Fur Seal"	"Arctocephalus pusillus"	7.668	NA	1.092	6.576	29.75	14.2410015649452	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"Yes"	"Telemetry / Radiotelemetry Used"	"3 (24 hour recording period)"	"Normal light/dark conditions"	NA	"Normal"	"No"	"No"	"1"	12	"Adult"	NA	""	""	"Average For 2 24-hour Periods; Sea Mammals; Discusses Synchronization And Desynchronization But No Specific Number Is Given"	"Not from Zepelin"	"Yes"
15	"Female"	"F"	"Land"	"Allison Et Al., 1977"	"Allison, T., Gerber, S. D., Breedlove, S. M., & Dryden, G. L. (1977). A Behavioral And Polygraphic Study Of Sleep In The Shrews Suncus Murinus, Blarina Brevicauda, And Cryptotis Parva. Behavioral Biology, 20(3), 354-366."	"Blarina Brevicauda"	"Greater Short-tailed Shrew"	"Blarina brevicauda"	14.9	5.9	2.3	12.6	7.6	15.4362416107383	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	NA	"1"	7	"Unknown"	"Poly"	""	""	"Behavioral Data; Sex And Age Are Unclear; Paper Did Not Indicate Adult Or Juv 

IC: Body Mass Of The Subject (19.3gr) Suggests It Was Probably An Adult"	"Not from Zepelin"	"No"
216	"Female"	"F"	"Land"	"Ruckebusch & Bell, 1970"	"Ruckebusch, Y., & Bell, F. R. (1970). Etude Polygraphique Et Comportementale Es Etats Dev Veille Et De Sommeil Chez La Vache (Bos Taurus). Annales De Recherches Veterinaires, 1, 41-62."	"Bos Taurus"	"Cow"	"Bos taurus"	2.436	NA	0.35	2.086	40	14.367816091954	NA	NA	NA	NA	NA	NA	""	""	""	3	3	3	"Yes"	"No"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"Yes"	"1"	9	"Adult"	NA	""	""	"In French; 14 Hr Rec. Time"	"Not from Zepelin"	"No"
117	"Female"	"F"	"Land"	"Galvao Et Al., 1983"	"Galvao De Moura Filho, A. G., Huggins, S. E., & Lines, S. G. (1983). Sleep And Waking In The Three-toed Sloth, Bradypus Tridactylus. Comparative Biochemical Physiology,  A, 76(2), 345-355."	"Bradypus Tridactylus"	"Three-toed Sloth"	"Bradypus tridactylus"	17.023	2.3323	2.9671	14.056	NA	17.4299477177936	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	"No"	"1"	10	"Juvenile"	"Poly"	""	""	"Used Group III; N=4; Separated According Tos Ex; Used Table 2. States 3 Males And 1 Female; In Paper Group III States 2 Males And 2 Females; Used Table Wrt Sex -IC: N.2 (female) In Table 2 Defined 'immature' (p.354) And Body Mass Suggest"	"Not from Zepelin"	"No"
82	"Female"	"F"	"Land"	"Crofts Et Al., 2001"	"Crofts, H. S., Wilson, S., Muggleton, N. G., Nutt, D. J., Scott, E. A., & Pearce, P. C. (2001). Investigation Of The Sleep Electrocorticogram Of The Common Marmoset (Callithrix Jacchus) Using Radiotelemetry. Clinical Neurophysiology, 112(12), 2265-2273."	"Callithrix Jacchus"	"Common Marmoset"	"Callithrix jacchus"	9.5044	NA	1.7438	7.7606	50	18.347291780649	NA	NA	NA	NA	NA	NA	""	""	""	4	2	2	"Yes"	"Telemetry / Radiotelemetry Used"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	12	"Unknown"	NA	""	""	"Data For Females; Unclear If Adult Or Juv; No Body Weight Given; 12 Hr. Rec. Time"	"Not from Zepelin"	"Yes"
290	"Female"	"F"	"Land"	"Zolovick Et Al., 1973"	"Zolovick, A., Stern, W., Jalowiec, J., Panksepp, J., & Morgane, P. (1973). Sleep-waking Patterns In Cats: Effects Of 6-hydroxydopamine Given Into The Dorso-lateral Pontine Tegmentum [Abstract]. Sleep Research, 2, 74."	"Cat"	"Cat"	"Felis catus"	5.6	NA	1.352	4.248	NA	24.1428571428571	NA	NA	NA	NA	NA	NA	""	""	""	5	5	5	"Yes"	"No"	"1 (Less than 12 hours)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	NA	"0"	6	"Adult"	NA	"SN"	""	"Used Baseline Values; Recording Time Is 8 Hours"	"Not from Zepelin"	"No"
106	"Female"	"F"	"Marine"	"Flanigan, 1974B"	"Flanigan, W. F. (1974b). Nocturnal Behavior Of Captive Small Cetaceans. II. The Beluga Whale, Delphinapterus Leucas [Abstract]. Sleep Research, 3, 85."	"Delphinapterus Leucas"	"Beluga Whale"	"Delphinapterus leucas"	5.2	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	""	""	""	2	2	2	"No"	"No"	"2 (At least 12, but less than 24 hours)"	"Abnormal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	7	"Adult & Juvenile"	NA	""	""	"Ages 3-11; Females; No Sleep Quotas; Only Behavioral Data Reported; Current Data From Campbell & Tobler, 1984; 13.5-14 Hr Recording Period; Constant Illumination"	"Not from Zepelin"	"No"
164	"Female"	"F"	"Marine"	"Lyamin Et Al., 2000"	"Lyamin, O. I., Oleksenko, A. I., & Sevostiyanov, V. F., Nazarenko, E. A., & Mukhametov, L. M. (2000). Behavioral Sleep In Captive Sea Otters. Aquatic Mammals, 26, 132-136."	"Enhydra Lutris"	"Sea Otter"	"Enhydra lutris"	6.744	NA	NA	6.744	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	9	"Infant & Juvenile"	NA	""	""	"Sea Mammals; Based On Beh Observation Only; Female Only; No REM Scored; Used Series I"	"Not from Zepelin"	"Yes"
162	"Female"	"F"	"Marine"	"Lyamin Et Al., 2000"	"Lyamin, O. I., Oleksenko, A. I., & Sevostiyanov, V. F., Nazarenko, E. A., & Mukhametov, L. M. (2000). Behavioral Sleep In Captive Sea Otters. Aquatic Mammals, 26, 132-136."	"Enhydra Lutris"	"Sea Otter"	"Enhydra lutris"	6.912	NA	0.432	6.48	NA	6.25	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	9	"Infant & Juvenile"	NA	""	""	"Sea Mammals; Based On Beh Observation Only; Paper Does Not Specify Adult Or Juv; Used Series II-III B/c Data Available For Female In REM"	"Not from Zepelin"	"Yes"
95	"Female"	"F"	"Land"	"Estep Et Al., 1978"	"Estep, D., Canney, E. L., Cochran, C. C., & Hunter, J. L. (1978). Components Of Activity And Sleep In Two Species Of Chipmunks: Tamias Striatus Amd Eutomias Dorsalis. Bulletin Of The Psychonomic Society, 12, 341-343."	"Eutamias Dorsalis"	"Cliff Chipmunk"	"Eutamias dorsalis"	14.496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	6	6	6	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	9	"Adult"	"Poly"	""	""	"Only TST Available; Females Only"	"Not from Zepelin"	"No"
