"Species"	"Source Ref"	"Age/sex"	"Fixation method"	"Fixation method note"	"Region sampled"	"Mean Soma depth (um)"	"Mean Soma depth SD (um)"	"Mean Brain mass (g)"	"Mean Soma size (um2)"	"Mean Soma size SD (um2)"	"n Pyramidal neurons"
"Elephant"	"a"	"20-30 year-old adult males (n = 2)"	"Perfusion"	""	"RH visual and frontal cortices"	794	289	4990	516	123	40
"Humpback Whale"	"b"	"Juvenile male (n = 1)"	"Immersion"	"AT<8h"	"LH visual, frontal, anterior, and posterior temporal cortices"	1173	327	3603	524	98	20
"Minke Whale"	"b"	"Young female (n = 1)"	"Immersion"	"AT<48h"	"LH visual and motor cortices"	1222	575	1810	370	84	24
"Bottlenose Dolphin"	"b"	"Adult, unknown age/gender (n = 1)"	"Immersion"	"AT<2h"	"LH visual and anterior temporal cortices"	792	289	1250	357	140	33
"Giraffe"	""	"Sub-adult male (n = 3)"	"Perfusion"	""	"RH motor and visual cortices"	988	419	539	324	96	143
