"group_printed"	"Specimens_Heuer2019"	"species_sci"	"SpecimenID"	"SNR"	"voxel_size_printed"	"voxel_size_x_mm"	"voxel_size_y_mm"	"voxel_size_z_mm"	"volume_dims_printed"	"volume_dim_x"	"volume_dim_y"	"volume_dim_z"	"in_vivo"	"extracted"	"provenance"	"species_note"
"Lemuriformes"	"Aye-aye"	"Daubentonia madagascariensis"	"AyeAyeDaubentoni_cb56"	14.2	"0.300781,0.300781,0.3"	0.300781	0.300781	0.3	"147,207,117"	147	207	117	"No"	"No"	"MNHN"	NA
"Lemuriformes"	"Black-and-white ruffed lemur"	"Varecia variegata variegata"	"VariNoirEtBlancL_4d0e"	3.5	"0.300781,0.3,0.300781"	0.300781	0.3	0.300781	"180,200,140"	180	200	140	"No"	"No"	"MNHN"	NA
"Lemuriformes"	"Coquerel's mouse lemur"	"Mirza coquereli"	"MicrocebeDeCoque_e3a9"	193	"0.300481,0.3,0.300481"	0.300481	0.3	0.300481	"373,334,290"	373	334	290	"No"	"No"	"MNHN"	NA
"Lemuriformes"	"Grey mouse lemur"	"Microcebus murinus"	"MicrocebeMignonM_ca6c"	31.8	"0.25,0.25,0.25"	0.25	0.25	0.25	"184,232,136"	184	232	136	"No"	"No"	"MNHN"	NA
"Lemuriformes"	"Mongoose lemur"	"Eulemur mongoz"	"LemurMongosLemur_b941"	28.9	"0.3,0.3,0.3"	0.3	0.3	0.3	"200,354,230"	200	354	230	"No"	"No"	"MNHN"	NA
"Lemuriformes"	"Red-tailed sportive lemur"	"Lepilemur ruficaudatus"	"LepilemurAQueueR_309f"	12.6	"0.25,0.25,0.25"	0.25	0.25	0.25	"228,256,188"	228	256	188	"No"	"No"	"MNHN"	NA
"Lemuriformes"	"Ring-tailed lemur"	"Lemur catta"	"MakiCattaLemurCa_dec8"	61.3	"0.25,0.25,0.25"	0.25	0.25	0.25	"156,200,124"	156	200	124	"No"	"Yes"	"MNHN"	NA
"Loridae"	"Red slender loris"	"Loris tardigradus"	"NycticebusTardig_08cb"	53	"0.25,0.25,0.25"	0.25	0.25	0.25	"104,112,92"	104	112	92	"No"	"Yes"	"MNHN"	NA
"Galagonidae"	"Demidoff's galago"	"Galago demidoff"	"GalagoDemidoviiG_6cf3"	229.4	"0.25,0.25,0.25"	0.25	0.25	0.25	"184,244,324"	184	244	324	"No"	"No"	"MNHN"	NA
"Cebidae"	"Black-pencilled marmoset"	"Callithrix penicillata"	"OuistitiAPinceau_b4aa"	66	"0.25,0.25,0.25"	0.25	0.25	0.25	"112,144,100"	112	144	100	"No"	"Yes"	"MNHN"	NA
"Cebidae"	"Cotton-top tamarin"	"Saguinus oedipus"	"MarsousetOedipom_e834"	27.3	"0.25,0.2,0.25"	0.25	0.2	0.25	"156,390,228"	156	390	228	"No"	"Yes"	"MNHN"	NA
"Cebidae"	"Douroucouli"	"Aotus trivirgatus"	"DouroucouliAotus_091c"	114.4	"0.25,0.25,0.25"	0.25	0.25	0.25	"240,364,240"	240	364	240	"No"	"No"	"MNHN"	NA
"Cebidae"	"Squirrel monkey"	"Saimiri sciureus"	"SaimiriCassiquia_7176"	70.2	"0.25,0.25,0.25"	0.25	0.25	0.25	"132,180,124"	132	180	124	"No"	"Yes"	"MNHN"	NA
"Cebidae"	"Squirrel monkey"	"Saimiri sciureus"	"SaimiriCassiquia_eb44"	54.5	"0.25,0.25,0.25"	0.25	0.25	0.25	"148,172,100"	148	172	100	"No"	"Yes"	"MNHN"	NA
"Cebidae"	"Tufted capuchin"	"Cebus apella"	"ApelleCebusApell_f4b9"	48.8	"0.275,0.28,0.275"	0.275	0.28	0.275	"208,258,175"	208	258	175	"No"	"No"	"MNHN"	NA
"Cebidae"	"White-faced sapajou"	"Cebus capucinus"	"SapajouCapucinCe_d971"	58.3	"0.283333,0.283333,0.28"	0.283333	0.283333	0.28	"160,223,142"	160	223	142	"No"	"Yes"	"MNHN"	NA
"Atelidae"	"Black spider monkey"	"Ateles paniscus"	"Atele_6717"	8.8	"0.275,0.28,0.275"	0.275	0.28	0.275	"237,286,248"	237	286	248	"No"	"No"	"MNHN"	NA
"Atelidae"	"Black spider monkey"	"Ateles paniscus"	"AteleAtelesAter_7245"	23.9	"0.299107,0.3,0.299107"	0.299107	0.3	0.299107	"204,314,201"	204	314	201	"No"	"No"	"MNHN"	NA
"Atelidae"	"Red howler monkey"	"Alouatta seniculus"	"HurleurRouxAloua_47da"	68.4	"0.25,0.25,0.25"	0.25	0.25	0.25	"404,368,288"	404	368	288	"No"	"No"	"MNHN"	"present in S1 but absent from Table 1 - scanned and QC'd but NOT part of the 34-species / 65-individual analysed sample; binomial is the standard name for the common name, not taken from Table 1"
"Atelidae"	"Woolly monkey"	"Lagothrix lagotricha"	"SingeLaineuxLago_0f84"	32.2	"0.25,0.25,0.25"	0.25	0.25	0.25	"240,276,196"	240	276	196	"No"	"Yes"	"MNHN"	NA
"Cercopithecini"	"Green monkey"	"Chlorocebus sabaeus"	"VervetCercopithe_72ae"	35.4	"0.3,0.3,0.3"	0.3	0.3	0.3	"200,260,157"	200	260	157	"No"	"Yes"	"MNHN"	NA
"Cercopithecini"	"Moustached guenon"	"Cercopithecus cephus cephus"	"MoustacLasiopygi_23cc"	41.3	"0.25,0.25,0.25"	0.25	0.25	0.25	"216,264,176"	216	264	176	"No"	"Yes"	"MNHN"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacacaFascicular_3a21"	19.8	"0.175,0.175,0.175"	0.175	0.175	0.175	"321,405,254"	321	405	254	"No"	"Yes"	"BC"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacaqueCrabierMa_8f9e"	22	"0.25,0.25,0.25"	0.25	0.25	0.25	"196,232,192"	196	232	192	"No"	"Yes"	"BC"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacacaFascicularis_mf01"	8.6	"0.5,0.5,0.5"	0.5	0.5	0.5	"116,143,112"	116	143	112	"Yes"	"No"	"PL"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacacaFascicularis_mf02"	9.7	"0.5,0.5,0.5"	0.5	0.5	0.5	"112,139,90"	112	139	90	"Yes"	"No"	"PL"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacacaFascicularis_32200"	13.1	"0.5,0.5,0.5"	0.5	0.5	0.5	"144,192,156"	144	192	156	"Yes"	"No"	"PDE"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacacaFascicularis_32202"	8.9	"0.5,0.5,0.5"	0.5	0.5	0.5	"144,192,156"	144	192	156	"Yes"	"No"	"PDE"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacacaFascicularis_32204"	12.4	"0.5,0.5,0.5"	0.5	0.5	0.5	"144,192,156"	144	192	156	"Yes"	"No"	"PDE"	NA
"Papionini"	"Crab-eating macaque"	"Macaca fascicularis"	"MacacaFascicularis_32205"	9.4	"0.5,0.5,0.5"	0.5	0.5	0.5	"144,192,192"	144	192	192	"Yes"	"No"	"PDE"	NA
"Papionini"	"Grey-cheeked mangabey"	"Lophocebus albigena"	"MangabeyCercoceb_4458"	41.6	"0.3,0.3,0.3"	0.3	0.3	0.3	"213,186,148"	213	186	148	"No"	"Yes"	"MNHN"	NA
"Papionini"	"Hamadryas baboon"	"Papio hamadryas"	"BabouinCercopith_a723"	16.7	"0.234375,0.234375,0.23"	0.234375	0.234375	0.23	"301,347,220"	301	347	220	"No"	"Yes"	"MNHN"	NA
"Papionini"	"Rhesus monkey"	"Macaca mulatta"	"MacaqueRhesusMac_bdf8"	20.1	"0.25,0.25,0.25"	0.25	0.25	0.25	"183,235,148"	183	235	148	"No"	"Yes"	"MNHN"	NA
"Papionini"	"Rhesus monkey"	"Macaca mulatta"	"MacacaMulatta_mm01"	6.9	"0.5,0.5,0.5"	0.5	0.5	0.5	"136,176,113"	136	176	113	"Yes"	"No"	"PL"	NA
"Papionini"	"Rhesus monkey"	"Macaca mulatta"	"MacacaMulatta_32198"	350.4	"0.5,0.5,0.5"	0.5	0.5	0.5	"143,198,140"	143	198	140	"Yes"	"No"	"PDE"	NA
"Papionini"	"Rhesus monkey"	"Macaca mulatta"	"MacacaMulatta_32199"	15.9	"0.5,0.5,0.5"	0.5	0.5	0.5	"144,192,192"	144	192	192	"Yes"	"No"	"PDE"	NA
"Papionini"	"Rhesus monkey"	"Macaca mulatta"	"MacacaMulatta_32201"	10.9	"0.5,0.5,0.5"	0.5	0.5	0.5	"144,192,192"	144	192	192	"Yes"	"No"	"PDE"	NA
"Papionini"	"Rhesus monkey"	"Macaca mulatta"	"MacacaMulatta_32203"	17.7	"0.5,0.5,0.5"	0.5	0.5	0.5	"144,192,192"	144	192	192	"Yes"	"No"	"PDE"	NA
"Papionini"	"Sooty mangabey"	"Cercocebus atys"	"MangabeyCouronne_6b65"	13.7	"0.2,0.2,0.2"	0.2	0.2	0.2	"301,360,241"	301	360	241	"No"	"Yes"	"MNHN"	NA
"Colobinae"	"Hanuman langur"	"Semnopithecus entellus"	"LangurIndienPith_8390"	23.3	"0.25,0.25,0.25"	0.25	0.25	0.25	"244,268,196"	244	268	196	"No"	"Yes"	"MNHN"	NA
"Colobinae"	"Indochinese lutung"	"Trachypithecus germaini"	"PithecusGermaini_6a2c"	29.8	"0.3,0.3,0.3"	0.3	0.3	0.3	"234,377,447"	234	377	447	"No"	"No"	"MNHN"	NA
"Colobinae"	"King colobus"	"Colobus polykomos"	"ColobeColobusPol_6118"	38.2	"0.275,0.28,0.275"	0.275	0.28	0.275	"193,243,186"	193	243	186	"No"	"Yes"	"MNHN"	NA
"Hominoidea"	"Bonobo"	"Pan paniscus"	"Bonobo_brian"	6.6	"0.703125,0.703125,0.6"	0.703125	0.703125	0.6	"140,165,162"	140	165	162	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Abby_Yerkes"	6	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Amanda_Yerkes"	2.6	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Artemus_Yerkes"	17.7	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Arthur_Yerkes"	11.5	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Azalea_Yerkes"	8.2	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Barbara_Yerkes"	3	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Barney_Yerkes"	26.7	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"Carl_Yerkes"	12.2	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Chimpanzee"	"Pan troglodytes troglodytes"	"David_Yerkes"	8.3	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Gibbon"	"Hylobates lar"	"Gibbon_buddy"	55.3	"0.546875,0.546875,0.6"	0.546875	0.546875	0.6	"118,147,94"	118	147	94	"Yes"	"No"	"NCBR"	NA
"Hominoidea"	"Gorilla"	NA	"Gorilla_kinyani"	18.9	"0.703125,0.703125,0.6"	0.703125	0.703125	0.6	"134,175,164"	134	175	164	"Yes"	"No"	"NCBR"	"printed name 'Gorilla' is ambiguous; Table 1 resolves it by provenance - BC = Gorilla beringei, NCBR = Gorilla gorilla"
"Hominoidea"	"Gorilla"	NA	"GorillaBeringeiG_0854"	6.7	"0.6,0.517857,0.517857"	0.6	0.517857	0.517857	"160,224,160"	160	224	160	"No"	"Yes"	"BC"	"printed name 'Gorilla' is ambiguous; Table 1 resolves it by provenance - BC = Gorilla beringei, NCBR = Gorilla gorilla"
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51058"	55.9	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 2"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51060"	49	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 3"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51061"	44.2	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 4"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51062"	33.9	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 5"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51063"	21.8	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 6"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51114"	41.9	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 7"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51116"	16.5	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 8"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51118"	56.2	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 9"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51152"	16.4	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 10"	NA
"Hominoidea"	"Human"	"Homo sapiens"	"Human_51153"	38.5	"1.0,1.0,1.0"	1	1	1	"256,256,256"	256	256	256	"Yes"	"No"	"ABIDE 11"	NA
"Hominoidea"	"Orangutan"	"Pongo pygmaeus"	"Orangoutan_80bb"	4.2	"0.4,0.4,0.4"	0.4	0.4	0.4	"210,240,210"	210	240	210	"No"	"No"	"MNHN"	NA
