species_row	Species_Baron1996	Species_printed_Table32	main_olfactory_bulb_mm3	paleocortex_mm3	striatum_mm3	septum_mm3	amygdala_mm3	hippocampus_mm3	schizocortex_mm3	neocortex_mm3	source_pdf_page
1	Eidolon helvum	Eidolon helvum	208.7	243.5	285.3	61.7	99.4	258.1	151.7	1406	138
2	Rousettus aegyptiacus	Rousettus aegyptiacus	114.5	127.7	130.2	32	50.8	145.4	82.9	687.4	138
3	R. amplexicaud. brachyotis §)	R. amplexic. brachyot. §)	85.7	93.4	74.9	20	35.2	101.4	35.8	396.4	138
4	R. ampl. stresemanni §)	R. amp!. stresemanni §)	117.1	116	84.9	25.8	45.5	131.1	59.6	469.6	138
5	Myonycteris torquata	Myonycteris torquata	56.1	67.2	58.6	17.5	24.6	85.7	47.1	336.5	138
6	Pteropus alecto	Pteropus alecto	238.2	312.5	440.6	90.3	115.9	357.4	220.9	2716	138
7	Pteropus conspicillatus	Pteropus conspicillatus	306.2	377.1	510.7	97	141.7	394.3	260.4	3339	138
8	Pteropus hypomelanus	Pteropus hypomelanus	219.5	277.9	320.4	69.8	99.8	283.5	196.8	1906	138
9	Pteropus lylei	Pteropus lylei	207.8	274.5	393	70	102.2	288.2	186.4	2386	138
10	Pteropus mahaganus	Pteropus mahaganus	168.1	273.6	334.8	67.8	106.8	274.5	171.6	1915	138
11	Pteropus neohibernicus	Pteropus neohibernicus	344	396.7	583.8	96.8	139.6	400.4	283	3676	138
12	Pteropus poliocephalus	Pteropus poliocephalus	252.9	309.8	444.1	90.1	114.9	358.5	225.7	2710	138
13	Pteropus samoensis	Pteropus samoensis	213.4	275.9	345.6	67.2	92.8	323.9	216.5	2144	138
14	Pteropus scapulatus	Pteropus scapulatus	177.5	230.1	322.9	67.5	86.7	267.8	204	2078	138
15	Pteropus temmincki	Pteropus temmincki	194.3	234.7	268.8	64.3	92.9	277.4	165.6	1814	138
16	Pteropus tonganus	Pteropus tonganus	224.2	304.1	417.1	74.1	108.3	305.7	200.7	2237	138
17	Pteropus vampyrus	Pteropus vampyrus	376.4	414.1	572	113.5	139.7	443.9	294.9	3610	138
18	Dobsonia inermis	Dobsonia inermis	145.6	168.1	177.3	39.2	68	186.5	94.9	834.8	138
19	D. moluccensis magna §)	D. moluccensis magna §)	288.2	328.2	309.8	69.5	117.4	322.5	160.4	1743	138
20	D. molucc. anderseni §)	D. molucc. anderseni §)	220.3	241	238.2	52.7	77	243	119.8	1284	138
21	Dobsonia praedatrix	Dobsonia praedatrix	199.6	190.3	192.9	41.8	68.8	181.2	93.1	933	138
22	Hypsignathus monstrosus	Hypsignathus monstrosus	136.3	161.5	160.7	45.6	56.9	222.9	114.1	1056	138
