species_row	Species_Baron1996	Species_printed_Table32	main_olfactory_bulb_mm3	paleocortex_mm3	striatum_mm3	septum_mm3	amygdala_mm3	hippocampus_mm3	schizocortex_mm3	neocortex_mm3	source_pdf_page
23	Epomops franqueti	Epomops franqueti	107.8	115.2	99.2	28.9	46.5	159.8	82.2	614.8	138
24	Epomophorus labiatus	Epomophorus labiatus	86.9	82.8	81.7	21.4	37.2	114.3	54.1	460.8	138
25	Micropteropus pusillus	Micropteropus pusillus	37.4	47.9	42.6	11.3	23.2	56.9	29.6	242.9	138
26	Scotonycteris zenkeri	Scotonycteris zenkeri	37	39.9	33	9.23	16.8	73.8	31.6	182.5	138
27	Casinycteris argynnis	Casinycteris argynnis	28.6	43.6	37.4	12.2	17.3	72	34.6	233.7	138
28	Cynopterus brachyotis	Cynopterus brachyotis	59.6	49.9	50.6	14.6	24.6	80.9	38.5	287.6	138
29	Cynopterus horsfieldi	Cynopterus horsfieldi	66	64.6	66.5	18.5	29	110.3	56.8	432.3	138
30	Cynopterus sphinx sphinx	Cynopterus sphinx sphinx	70.2	61.1	59.8	17.3	27.2	95	44.3	352.2	138
31	Megaerops ecaudatus	Megaerops ecaudatus	45.5	39.2	34.1	11.5	17.4	71.4	36.5	246.8	138
32	Chironax melanocephalus	Chironax melanocephalus	35.8	35.7	28.4	9.53	14.8	56.9	26.5	168.3	138
33	Sphaerias blanfordi	Sphaerias blanfordi	33.5	42.7	39.8	14.5	19.7	68.6	33.6	223.8	138
34	Balionycteris maculata	Balionycteris maculata	31.2	29.2	22.4	8.44	13	54.7	23.6	135	138
35	Nyctimene albiventer	Nyctimene albiventer	52.5	52.9	36.4	11.8	22	68.5	29.8	219.1	139
36	Nyctimene robinsoni	Nyctimene robinsoni	81.1	77.2	58.6	17.2	33.3	102.7	43.8	335.1	139
37	Nyctimene vizcaccia	Nyctimene vizcaccia	73.2	71	45.1	14	26.8	73	31.7	257	139
38	Paranyctimene raptor	Paranyctimene raptor	42	45.8	34.9	9.45	17.8	62.4	27	198.3	139
39	Eonycteris spelaea	Eonycteris spelaea	67	68.6	69.5	19.9	32.5	97.7	55.4	384	139
40	Megaloglossus woermanni	Megaloglossus woermanni	25.3	30.8	30.8	10.2	15.6	64.4	31.6	190.1	139
41	Macroglossus minimus	Macroglossus minimus	26.9	28.5	28	8.14	13	47	22.8	155.7	139
42	Macroglossus sobrinus	Macroglossus sobrinus	33.2	36	36.7	11.8	19.5	58.9	23.8	186.2	139
43	Syconycteris a. australis §)	Syconycteris a. australis §)	29.5	34.8	33	9.74	12.5	48.4	23.7	170	139
44	S. australis papuana §)	S. australis papuana §)	33.3	36.3	35.9	9.92	15.7	57.8	24.9	180.2	139
45	Melonycteris melanops	Melonycteris melanops	63.7	76.2	89.4	17.7	33.7	79.4	51.2	414.2	139
46	Nesonycteris woodfordi	Nesonycteris woodfordi	44.6	54.5	65.7	14.3	23.2	66.8	41.9	320	139
47	Notopteris macdonaldi	Notopteris macdonaldi	63	93.9	94.2	23.6	39.4	96.6	52.2	419.9	139
48	Rhinopoma hardwickei	Rhinopoma hardwickei	6.15	10.8	12.5	3.86	13.8	16.1	9.68	54	139
49	Rhinopoma microphyllum	Rhinopoma microphyllum	8.8	16.9	17.1	5.03	15.4	25.8	13.9	77.5	139
50	Emballonura monticola	Emballonura monticola	1.18	4.48	8.67	1.77	9.58	7.61	4.4	32.1	139
51	Emballonura raffrayana	Emballonura raffrayana	1.28	6.04	8	2.19	8.1	9.08	5.23	34.5	139
52	Emballonura semicaudata	Emballonura semicaudata	1.43	5.78	9.03	2.05	8.17	10.1	5.5	36	139
53	Coleura afra	Coleura afra	3.98	8.9	12.7	2.78	13.8	12.4	7.76	52.5	139
54	Rhynchonycteris naso	Rhynchonycteris naso	0.91	3.62	5.91	1.4	6.79	5.48	3.01	22.1	139
55	Saccopteryx bilineata	Saccopteryx bilineata	1.99	7.53	11.1	2.7	15.7	12.2	8.96	43.9	139
56	Saccopteryx canescens	Saccopteryx canescens	1.11	3.71	6.15	1.61	8.37	6.79	4.08	23.7	139
57	Saccopteryx leptura	Saccopteryx leptura	1.36	5.06	7.17	1.71	9.64	8.65	4.92	30	139
58	Cormura brevirostris	Cormura brevirostris	2.28	7.37	9.26	2.38	12.9	11.2	6.18	43.2	139
59	Peropteryx macrotis	Peropteryx macro tis	1.68	4.65	7.44	1.98	10.5	8.13	6.15	30.6	139
60	Peropteryx trinitatis	Peropteryx trinitatis	1.25	4.4	6.97	1.67	6.84	6.95	4.73	25.7	139
61	Taphozous australis	Taphozous australis	8.62	16.2	24.7	6.82	26.3	25.5	17.6	101.8	139
62	Taphozous hildegardeae	Taphozous hildegardeae	11	20.1	22.5	6.28	27.6	25.4	16	111.3	139
63	Taphozous mauritianus	Taphozous mauritianus	9.82	17.8	20.2	6.3	27.5	25.4	18	105.9	139
64	Taphozous melanopogon	Taphozous melanopogon	10.1	20.3	23	5.58	24.7	23.7	16.2	113.2	139
65	Taphozous theobaldi	Taphozous theobaldi	12.7	23.3	27.9	7	29.2	28.2	19.5	130.6	139
66	Taphozous saccolaimus	Taphozous saccolaimus	13.3	20.8	27.4	7.35	33	30.1	21.3	144.2	139
67	Cyttarops alecto	Cyttarops alecto	0.74	2.92	7.31	1.57	5.9	7.96	4.11	31.9	139
68	Craseonycteris thonglongyai	Craseonycteris thonglongyai	0.66	2.27	3.92	1.18	4.34	4.8	2.4	17.5	139
69	Nycteris arge	Nycteris arge	3.92	10.1	19.5	3.57	11.8	17.9	8.75	89.8	140
70	Nycteris grandis	Nycteris grandis	6.09	16	37.4	6.29	22.6	36.2	17.2	187	140
71	Nycteris hispida	Nycteris hispida	2.24	7.58	15.9	2.95	10.2	17.3	8.06	69.6	140
72	Nycteris javanica	Nycteris javanica	3.38	8.82	21.4	3.58	13.7	27.3	10.3	122.7	140
73	Nycteris macrotis	Nycteris macrotis	4.15	9.42	17.4	3.49	14.8	18.5	10.4	102.1	140
74	Nycteris nana	Nycteris nana	2.85	6	13.1	2.71	7.89	14.5	6.29	54.4	140
75	Nycteris thebaica	Nycteris thebaica	2.9	8.42	15.8	2.89	11.1	17.4	8.42	85.7	140
76	Nycteris tragata	Nycteris tragata	3.65	8.48	21.1	3.87	13.6	24.1	9.17	124.1	140
77	Megaderma lyra	Megaderma lyra	18	25.7	41.1	7.98	30.9	40.6	26	244.6	140
78	Megaderma spasma	Megaderma spasma	10.5	18.4	30.7	6.23	22	31.1	21.7	172.9	140
79	Macroderma gigas	Macroderma gigas	21.6	40.3	77.7	15	50.4	68.9	48.6	510.5	140
80	Cardioderma cor	Cardioderma cor	8.07	16.4	29.9	6.97	24.1	32.3	22.7	186.3	140
81	Lavia frons	Lavia frons	4.35	12.5	28.7	5.85	20.4	25.8	19.7	171.4	140
82	Rhinolophus cornutus	Rhinolophus cornutus	3.57	5.86	9.76	2.37	7.04	14.5	6.34	37.5	140
83	Rhinolophus eloquens	Rhinolophus eloquens	9.38	15.8	20.5	5.16	15.8	28.8	13.6	76.5	140
84	Rhinolophus hipposideros	Rhinolophus hipposideros	1.97	5.46	6.87	2.03	4.95	13.6	5.48	19	140
85	Rhinolophus landeri	Rhinolophus landeri	5.58	9.99	14.3	3.65	10.7	19.1	8.02	50.6	140
86	Rhinolophus lepidus	Rhinolophus lepidus	4.19	7.86	10.4	2.29	8.32	12.7	5.95	32.6	140
87	Rhinolophus luctus	Rhinolophus luctus	6.89	16.7	25.1	5.74	25.7	34.2	21.5	135.6	140
88	Rhinolophus macrotis	Rhinolophus macrotis	3.93	7.27	10.3	2.71	6.57	19.3	7.41	32.4	140
89	Rhinolophus malayanus	Rhinolophus malayanus	3.96	7.27	9.74	2.73	9.79	14.3	5.92	34.5	140
90	Rhinolophus megaphyllus	Rhinolophus megaphyllus	4.57	8.67	13.9	3.08	11.2	21	8.77	49.6	140
91	Rhinolophus megaphyllus ssp.	Rhinolophus megaph. ssp.	3.06	8.24	12.2	2.86	9.42	17.9	7.55	44.4	140
92	Rhinolophus paradoxolophus	Rhinolophus paradoxoloph.	5.41	9.51	12.8	3.13	7.98	24.3	8.9	46.9	140
93	Rhinolophus pearsoni	Rhinolophus pearsoni	4.38	10.1	15.6	3.8	13.9	25.4	11.6	70.9	140
94	Rhinolophus pusillus	Rhinolophus pusillus	3.41	6.32	8.94	1.87	7.18	12.5	5.24	29.6	140
95	Rhinolophus trifoliatus	Rhinolophus trifoliatus	3.26	9.57	13.7	3.34	15.9	23	10.8	71.6	140
96	Rhinolophus yunanensis	Rhinolophus yunanensis	8.84	14.5	20.4	4.84	19.2	32.7	16.2	90.6	140
97	Hipposideros armiger	Hipposideros armiger	15.2	24.8	38.6	8.55	31	57.4	25.1	168.5	140
98	Hipposideros ater	Hipposideros ater	3.41	7.32	11.4	2.7	7.73	16	6.34	38.6	140
99	Hipposideros ater aruensis	Hipposideros ater aruensis	2.96	7.21	10	2.3	6.01	14.4	5.36	34.1	140
100	Hipposideros ater saevus	Hipposideros ater saevus	3.85	7.57	9.44	2.05	6.05	13.2	5.39	32.6	140
101	Hipposideros caffer	Hipposideros caffer	5.38	9.55	15.6	3.52	11.6	20.1	9.01	60.9	140
102	H. calcaratus calcaratus §)	H. calc. calcaratus §)	10.9	16.9	23.5	4.44	13.7	24.5	10.1	82.1	140
103	H. calcaratus cupidus §)	H. calcaratus cupidus §)	8.79	14.2	19.6	3.53	11.2	20.3	9.33	72.6	140
104	Hipposideros cervinus	Hipposideros cervinus.	2.95	6.63	12	2.44	7.89	13.9	6.04	40.7	140
105	Hipposideros commersoni	Hipposideros commersoni	23.7	30.7	38.2	8.7	27.5	47.8	26.7	171.7	140
106	Hipposideros diadema	Hipposideros diadema	14.2	23.2	34.7	8.43	30.3	47.9	22	154.5	140
107	Hipposideros fulvus	Hipposideros fulvus	5.16	8.2	12.4	2.73	9.71	15.1	6.18	44.6	140
108	Hipposideros halophyllus	Hipposideros halophyllus	2.39	4.8	6.83	1.68	5.36	10.7	5.01	25.5	141
109	Hipposideros lankadiva	Hipposideros lankadiva	15.4	28.2	38	8.76	27.8	48.8	24	154.5	141
110	Hipposideros larvatus	Hipposideros larvatus	9.64	14.9	24.7	5.2	18.7	28	11.4	85.4	141
111	Hipposideros lekaguli	Hipposideros lekaguli	10.7	16.9	26.3	6.4	19.2	35.8	19.3	123.1	141
112	H. magg. maggietaylorae §)	H. m. maggietaylorae §)	21.1	28.9	37	6.53	20.9	38.4	18.3	145.5	141
113	H. maggietaylorae erroris §)	H. maggietayl. erroris §)	13.8	22.1	27	4.7	15.8	24.5	10.7	90	141
114	Hipposideros ridleyi	Hipposideros ridleyi	4.7	9.53	15.2	3.32	10.4	18.7	8.05	50.3	141
115	Hipposideros speoris	Hipposideros speoris	5.3	9.33	14.8	3.39	11.9	16.8	7.24	57.6	141
116	Hipposideros turpis	Hipposideros turpis	10.4	20.9	31.1	6.85	21.9	41.2	17.7	128.9	141
117	Aselliscus stoliczkanus	Aselliscus stoliczkanus	1.68	4.39	6.87	1.67	5.07	12.7	4.23	22.5	141
118	Aselliscus tricuspidatus	Aselliscus tricuspidatus	2.07	4.8	7.91	1.74	5.52	10.5	4.41	22.2	141
119	Rhinonycteris aurantius	Rhinonycteris aurantius	3.87	7.7	12.7	3.15	8.73	19.2	7.31	47.3	141
120	Triaenops persicus	Triaenops persicus	5.22	7.3	11.7	2.62	9.61	17.4	6.66	48.1	141
121	Noctilio albiventris	Noctilio albiventris	8.77	16.5	29.2	5.25	25.5	21.5	13	184.2	141
122	Noctilio leporinus	Noctilio leporinus	18.3	31.4	62	10.6	46.3	50.5	27.8	361.7	141
123	Pteronotus gymnonotus	Pteronotus gymnonotus	7.28	11.2	17.9	3.45	13.9	19.2	8.9	77.7	141
124	Pteronotus personatus	Pteronotus personatus	4.85	8.7	11.9	2.62	10.4	12.9	6.07	50	141
125	Pteronotus parnelli	Pteronotus parnelli	11.8	22.3	27.6	5.89	24.3	34.6	13.6	119.8	141
126	Mormoops megalophylla	Mormoops megalophylla	6.66	11.8	17	4.75	12.8	27.5	10.6	67.2	141
127	Micronycteris megalotis	Micronycteris megalotis	10.3	15.4	14.3	2.45	11.2	14.1	7.59	59.7	141
128	Micronycteris minuta	Micronycteris minuta	12	15.9	14.7	2.93	10.5	17.3	9.02	65.6	141
129	Micronycteris schmidtorum	Micronycteris schmidtorum	11.3	16.8	15.9	2.79	12	14.4	9.05	76	141
130	Micronycteris brachyotis	Micronycteris brachyotis	21.8	25.5	19	4.41	14	22.6	11.2	88	141
131	Macrophyllum macrophyllum	Macrophyllum macrophyll.	4.39	9.7	17.8	3	10.5	19.6	9.23	80.3	141
132	Tonatia bidens	Tonatia bidens	30.3	42	35.6	8.05	28.9	41.7	22.4	206.6	141
133	Tonatia schulzi	Tonatia schulzi	8.99	14.3	24	3.6	12.6	16.1	10.1	153.5	141
134	Tonatia sylvicola	Tonatia sylvicola	14.6	21.3	35.3	5.63	21.2	27.1	18.3	240.2	141
135	Mimon crenulatum	Mimon crenulatum	7.3	10.3	15.8	2.94	11.3	18.2	8.96	87.1	141
136	Phyllostomus discolor	Phyllostomus discolor	39.8	53.3	58.1	13.3	38.8	67.9	39.2	312.6	141
137	Phyllostomus elongatus	Phyllostomus elongatus	20.4	33.9	43.1	8.74	32.9	49.1	25.2	226.3	141
138	Phyllostomus hastatus	Phyllostomus hastatus	42.8	65.2	73.9	14.7	46.4	79.8	48.4	438.9	141
139	Phylloderma stenops	Phylloderma stenops	87.4	104.5	68.8	15.8	36.2	91.7	51	348.3	141
140	Trachops cirrhosus	Trachops cirrhosus	23.5	36	50	8.78	27.5	50.6	28.4	296.4	141
141	Vampyrum spectrum	Vampyrum spectrum	92	121.3	114.2	19.8	50.7	110.4	65.4	757.7	141
142	Glossophaga longirostris	Glossophaga longirostris	12.9	19.6	20.3	6.09	12.5	38.6	17	92.9	142
143	Glossophaga soricina	Glossophaga soricina	11.5	18.5	18.7	5.8	12	31.4	14.9	88	142
144	Monophyllus plethodon	Monophyllus plethodon	13.6	20.9	22.8	5.89	13.6	34.3	15.3	96.4	142
145	Leptonycteris curasoae	Leptonycteris curasoae	19.2	29.4	29.6	8.38	17.1	47.7	23.1	140.3	142
146	Leptonycteris nivalis	Leptonycteris nivalis	18	26.9	29.4	8.92	18.1	42.2	22.4	144.3	142
147	Lonchophylla mordax	Lonchophylla mordax	11.2	18	21.1	6.63	13	38.4	15.6	97.5	142
148	Lonchophylla thomasi	Lonchophylla thomasi	9.44	15.1	15.4	4.63	10.5	33.1	13.5	76.7	142
149	Lionycteris spurrelli	Lionycteris spurrelli	10.3	14.9	16.5	4.93	9.25	29.5	13.6	81.7	142
150	Anoura caudifer	Anoura caudifer	10.1	15.8	20.1	5.74	10.5	33.8	15.7	101.1	142
151	Anoura geoffroyi	Anoura geoffroyi	18.2	25.5	32.1	8.54	16.6	49	24.1	146.1	142
152	Choeroniscus minor	Choeroniscus minor	9.35	13.1	15.5	4.76	11.4	34.5	16.5	95.4	142
153	Carollia castanea	Carollia castanea	20.8	26.3	21.7	6	13.4	38.6	16.9	104	142
154	Carollia perspicillata	Carollia perspicillata	26.3	32.7	27.2	7.16	16.1	42.9	20	129.1	142
155	Rhinophylla pumilio	Rhinophylla pumilio	18.8	21.9	17.1	4.42	13.2	30.3	12.7	85.6	142
156	Sturnira lilium	Sturnira lilium	28.4	37.9	34.8	8.82	18	45.7	23.2	161.4	142
157	Sturnira ludovici	Sturnira ludovici	31.3	37.2	35.3	8.68	22.4	49.4	24.3	159.7	142
158	Sturnira tildae	Sturnira tildae	32.6	41.1	40.8	8.97	21.5	54.1	27.8	190	142
159	Uroderma bilobatum	Uroderma bilobatum	28.7	32	27.9	8.57	17.6	42.7	28.4	155.8	142
160	Vampyrops brachycephalus	Vampyrops brachycephal.	20.4	25	25.6	6.01	15.3	36	20.7	158.1	142
161	Vampyrops helleri	Vampyrops helleri	17.2	22.9	23.6	5.62	14.1	33.6	19.4	147.1	142
162	Vampyrops infuscus	Vampyrops infuscus	40.8	52.1	51.5	13	29.1	75.4	36.4	284.5	142
163	Vampyrops lineatus	Vampyrops lineatus	26	33.9	32.2	7.98	20.5	45.4	26	213.9	142
164	Vampyrops vittatus	Vampyrops vittatus	41.7	52.6	55.7	14	30.5	71.9	46.8	344.4	142
165	Vampyrodes caraccioloi	Vampyrodes caraccioloi	35.3	43.1	36.9	11.2	27	58.3	30.2	248.6	142
166	Vampyressa pusilla	Vampyressa pusilla	14.6	19.7	16.8	5.22	10.7	27.4	14.9	98.3	142
167	Chiroderma salvini	Chiroderma salvini	31.1	37.8	34	9.2	24.1	56.2	27.6	210.5	142
168	Chiroderma trinitatum	Chiroderma trinitatum	21.1	24.7	19.9	5.96	15.9	33.6	17.2	152.2	142
169	Chiroderma villosum	Chiroderma villosum	27.4	32.2	27.6	7.51	20.6	44.3	22.8	187.4	142
170	Chiroderma villosum ssp.	Chiroderma villosum ssp.	35.4	38	31.6	9.32	21.6	56.2	26.4	202.8	142
171	Ectophylla macconnelli	Ectophylla macconnelli	11.4	15	15.6	4.3	8.93	26.3	13.5	86.9	142
172	Artibeus cinereus	Artibeus cinereus	18.9	25.3	22.7	6.22	11.7	32.9	20	120.4	142
173	Artibeus concolor	Artibeus concolor	25.8	34	27.8	7.62	19.2	43.5	25.3	152.3	142
174	Artibeus jamaicensis	Artibeus jamaicensis	38.7	54.4	51.8	12	27.3	63.8	44.1	281.1	142
175	Artibeus lituratus	Artibeus lituratus	54.1	71	60.6	15	34.8	79.4	49.5	326	142
176	Enchisthenes harti	Enchisthenes harti	20.9	28	24.3	7.14	14.8	35.6	21.3	130.3	142
177	Ardops nichollsi	Ardops nichollsi	28	30.4	28.5	7.39	18.6	36.1	19.8	148.6	142
178	Sphaeronycteris toxophyllum	Sphaeronycteris toxoph.	11.8	24.1	21.2	6.63	12	32.3	20.5	135.2	142
179	Brachyphylla cavernarum	Brachyphylla cavernarum	42.2	68.1	82.2	17.2	33.8	78.8	36.8	322.9	142
180	Desmodus rotundus	Desmodus rotundus	33	42.8	60.7	10.9	30.4	42.4	31.7	312.5	143
181	Diphylla ecaudata	Diphylla ecaudata	36.2	38.9	45.6	8.67	21.6	41	23.2	231.1	143
182	Natalus tumidirostris	Natalus tumidirostris	3.58	8.11	14.9	3.06	8.81	27.1	8.59	55.1	143
183	Furipterus horrens	Furipterus horrens	1.37	3.73	6.22	1.33	4.65	9.46	3.76	23.3	143
184	Myotis adversus	Myotis adversus	5.54	10.8	14	3.43	12.2	13.2	7.32	46.6	143
185	Myotis albescens	Myotis albescens	2.9	5.14	6.73	1.66	6	7.59	3.75	20.5	143
186	Myotis altarium	Myotis altarium	4.98	9.69	11.9	3.68	9.28	21.3	8.75	36.9	143
187	Myotis annectans	Myotis annectans	5.05	9.25	10.7	3.26	10.4	17.7	8.44	37.3	143
188	Myotis bechsteini	Myotis bechsteini	7.81	14.1	13	4.73	11	25.5	9.18	36.3	143
189	Myotis bocagei	Myotis bocagei	4.09	7.38	9.84	2.53	9.6	9.75	5.67	36	143
190	Myotis dasycneme	Myotis dasycneme	6.89	11.8	13	4.41	14	25.2	11.2	46.5	143
191	Myotis montivagus	Myotis montivagus	3.55	6.69	8.58	2.16	8.39	10.3	4.67	27.8	143
192	Myotis myotis	Myotis myotis	13.3	18.3	23.6	6.69	18.8	35.6	17.2	78.3	143
193	Myotis nattereri	Myotis nattereri	4.77	8.83	10.6	3.32	10.2	21.4	7.79	34.8	143
194	Myotis nigricans	Myotis nigricans	2.88	7.03	7.95	2.02	7.27	9.03	4.08	23	143
195	Myotis nigricans ssp.	Myotis nigricans ssp.	4.02	7.02	8.7	2.16	8.42	7.42	4.27	28.3	143
196	Myotis siligorensis	Myotis siligorensis	2.17	3.74	5.54	1.42	4.83	7.14	3.06	16.2	143
197	Pipistrellus babu	Pipistrellus babu	2.42	3.82	3.63	1.33	4.74	6.42	3.02	14.2	143
198	Pipistrellus ceylonicus	Pipistrellus ceylonicus	5.44	8.3	6.74	2.36	10.1	11.8	5.61	28.3	143
199	Pipistrellus circumdatus	Pipistrellus circumdatus	4.96	8.74	9.8	3.35	10.7	20	9.47	35.1	143
200	Pipistrellus crassulus	Pipistrellus crassulus	3.56	5.44	5.75	1.91	7.41	8.19	3.98	21.3	143
201	Pipistrellus imbricatus	Pipistrellus imbricatus	3.26	5.18	6.16	2.19	6.96	9.24	3.12	21.2	143
202	Pipistrellus javanicus	Pipistrellus javanicus	3.14	4.84	4.93	1.61	6.38	8.27	3.63	18.4	143
203	Pipistrellus mimus	Pipistrellus mimus	2.46	3.85	3.75	1.33	4.28	6.26	2.99	14.4	143
204	Pipistrellus nanus	Pipistrellus nanus	1.99	4.37	5.31	1.43	4.89	6.27	2.9	15.7	143
205	Pipistrellus papuanus §)	Pipistrellus papuanus §)	2.29	4.33	4.77	1.66	6.14	6.09	2.8	17.6	143
206	Pipistrellus pulveratus	Pipistrellus pulveratus	3.76	5.86	6.37	2.11	8	9.97	4.87	22.6	143
207	Pipistrellus subflavus	Pipistrellus subflavus	3.53	5.72	5.32	2.31	5.27	10.9	4.55	16.6	143
208	Scotozous dormeri	Scotozous dormeri	3.76	6.67	5.71	1.85	7.09	7.95	3.93	21.4	143
209	Nyctalus noctula	Nyctalus noctula	7.74	12.2	12.4	4.55	15.6	19.2	10.5	54.9	143
210	Nyctalus stenopterus	Nyctalus stenopterus	6.09	9.36	11.2	3.1	13.6	13.9	5.9	39.4	143
211	Glischropus tylopus	Glischropus tylopus	2.28	4.09	4.48	1.26	5.41	6.44	2.48	14.3	143
212	Eptesicus brasiliensis	Eptesicus brasiliensis	4.49	9.72	9.7	3.02	10.1	11.9	6.22	34.8	143
213	Eptesicus br. melanopterus	Eptesicus br. melanopterus	5.43	8.16	8.76	2.55	10.2	11.6	5.82	31	143
214	Eptesicus flavescens	Eptesicus flavescens	4.77	7.88	8.07	2.41	8.59	10.7	5.24	31.5	143
215	Eptesicus fuscus	Eptesicus fuscus	6.17	10.7	10.9	3.39	9.24	19.7	9.82	43.3	143
216	Eptesicus pumilus	Eptesicus pumilus	2.6	4.6	5.52	1.85	5.97	9.65	3.83	18.3	143
217	Eptesicus serotinus andersoni	Eptesicus serotinus anders.	10	15.6	16.1	5.01	17	27.6	12.3	55.7	143
218	Ia io	Ia io	16.9	31.6	38.5	9.76	36.9	47.1	26.6	141.3	143
219	Tylonycteris pachypus	Tylonycteris pachypus	1.78	3.34	3.15	1.14	4.19	4.4	2.29	12.3	144
220	Tylonycteris robustula	Tylonycteris robustula	2.88	4.6	4.25	1.44	5.53	6.21	3.6	16.7	144
221	Hesperoptenus blanfordi	Hesperoptenus blanfordi	4.3	6.23	5.86	2.11	8.66	9.34	4.1	25.7	144
222	Glauconycteris humeralis	Glauconycteris humeralis	1.48	4.6	6.49	1.39	5.61	9.79	3.95	22.9	144
223	Glauconycteris poensis	Glauconycteris poensis	2.39	5.94	8.32	1.98	9.93	12.2	5.95	36	144
224	Chalinolobus gouldi	Chalinolobus gouldi	5.74	8.26	10.2	3.37	11	17.6	7.14	37.3	144
225	Chalinolobus morio	Chalinolobus morio	3.15	5.65	8.06	2.69	6.38	17.9	6.27	28.1	144
226	Scotorepens sanborni	Scotorepens sanborni	4.09	6.86	6.56	1.99	7.57	10.2	5.03	25.7	144
227	Rhogeessa parvula	Rhogeessa parvula	2.8	4.9	5.31	1.62	5.78	6.48	3.44	18.2	144
228	Scotomanes ornatus	Scotomanes ornatus	8.21	15.9	18.6	5.99	18.1	27.4	13.3	65	144
229	Scotomanes spec?	Scotomanes sp.?	6.97	13.6	13.9	4.47	16.6	27.8	12.8	57.7	144
230	Scotophilus dingani	Scotophilus dingani	11	15.3	18.5	4.47	20.3	22.7	12.6	87.2	144
231	Scotophilus heathi	Scotophilus heathi	11.2	16.8	18.9	5.53	21.1	25.1	11.7	93.6	144
232	Scotophilus kuhli	Scotophilus kuhli	6.76	11.4	13.5	4.11	16.5	18.6	9.76	66.8	144
233	Lasiurus borealis	Lasiurus borealis	3.97	5.71	6.3	2.11	6.27	9	4.6	27.9	144
234	Miniopterus australis	Miniopterus australis	4.47	7.32	11.7	2.72	9.74	15	6.04	37.6	144
235	Miniopterus haradei	Miniopterus haradei	4.83	7.81	11.1	2.79	10.9	15.9	6.15	37.7	144
236	Miniopterus inflatus	Miniopterus inflatus	6.77	11.5	16.3	3.93	12.5	19	9.35	55.9	144
237	Miniopterus magnater	Miniopterus magnater	6.01	11.3	16.8	3.71	16.2	20.2	7.99	59.7	144
238	Miniopterus medius	Miniopterus medius	4.42	9.41	13.2	2.96	12.1	15.7	5.3	46.4	144
239	Miniopterus pusillus	Miniopterus pusillus	3.98	8.22	11.5	2.64	10.1	15	6.28	37.2	144
240	M. schreibersi arenarius	M. schreibersi arenarius	5.24	9.71	13.1	2.98	10.8	16.6	7.74	44	144
241	Miniopterus s. blepotis	Miniopterus s. blepotis	5.98	12.9	16	3.7	12.4	19.7	9.13	49.8	144
