"component"	"Helarctos"	"Ailuropoda"	"Ursus"	"source"
"BO"	31	38	38	"Kamiya_Pirlot_1988_Table1"
"N"	2247	3018	1635	"Kamiya_Pirlot_1988_Table1"
"RH"	195	140	96	"Kamiya_Pirlot_1988_Table1"
"S"	144	162	136	"Kamiya_Pirlot_1988_Table1"
"D"	415	478	258	"Kamiya_Pirlot_1988_Table1"
"ST"	601	1027	641	"Kamiya_Pirlot_1988_Table1"
"H"	197	259	116	"Kamiya_Pirlot_1988_Table1"
"M"	461	311	227	"Kamiya_Pirlot_1988_Table1"
"C"	510	613	317	"Kamiya_Pirlot_1988_Table1"
"O"	275	136	93	"Kamiya_Pirlot_1988_Table1"
