"species"	"retinal_ganglion_cell_count"	"reference"	"source"
"Microcebus murinus"	565000	"Dkhissi-Benyahya et al. (2001)"	"Bush_Allman_2004_b"
"Cheirogaleus medius"	192000	"Tetreault et al. (2004)"	"Bush_Allman_2004_b"
"Galago senegalensis"	519000	"DeBruyn et al. (1980)"	"Bush_Allman_2004_b"
"Otolemur crassicaudatus"	755000	"DeBruyn et al. (1980)"	"Bush_Allman_2004_b"
"Tarsius syrichta"	797000	"Tetreault et al. (2004)"	"Bush_Allman_2004_b"
"Aotus trivirgatus"	465000	"Webb and Kaas (1976); Silveira et al. (1993); Jones (1965); Jacobs (1977)"	"Bush_Allman_2004_b"
"Cebus apella"	1370000	"Silveira et al. (1989); Perry and Cowey (1985)"	"Bush_Allman_2004_b"
"Macaca mulatta"	1600000	"Perry and Cowey (1985)"	"Bush_Allman_2004_b"
"Macaca fascicularis"	1583000	"Wässle et al. (1990); Reese and Ho (1988)"	"Bush_Allman_2004_b"
"Papio anubis"	1580000	"Fischer and Kirby (1991)"	"Bush_Allman_2004_b"
"Cercopithecus aethiops"	1229000	"Herbin et al. (1997)"	"Bush_Allman_2004_b"
"Homo sapiens"	1275000	"Van Buren (1963); Jonas et al. (1992); Curcio et al. (1990)"	"Bush_Allman_2004_b"
