"species"	"reference"	"group"	"specimen"	"region"	"cell_type"	"measure"	"value"	"units"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Total"	"cell_number"	33.10125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Neurons"	"cell_number"	29.801055375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Non-neurons"	"cell_number"	3.300194625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Total"	"cell_number"	18.809375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Neurons"	"cell_number"	7.392084375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Non-neurons"	"cell_number"	11.417290625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Total"	"cell_number"	20.00578125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Neurons"	"cell_number"	3.851112890625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Non-neurons"	"cell_number"	16.154668359375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Total"	"cell_number"	4.875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Neurons"	"cell_number"	0.6654375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Non-neurons"	"cell_number"	4.2095625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Total"	"cell_number"	15.47	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Neurons"	"cell_number"	5.32168	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Non-neurons"	"cell_number"	10.14832	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Total"	"cell_number"	44.3746875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Neurons"	"cell_number"	41.3483338125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Non-neurons"	"cell_number"	3.02635368750001	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Total"	"cell_number"	14.105	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Neurons"	"cell_number"	3.201835	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Non-neurons"	"cell_number"	10.903165	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Total"	"cell_number"	7.6578125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Neurons"	"cell_number"	1.179303125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Non-neurons"	"cell_number"	6.478509375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Total"	"cell_number"	3.469375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Neurons"	"cell_number"	0.45101875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Non-neurons"	"cell_number"	3.01835625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Total"	"cell_number"	18.9028125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Neurons"	"cell_number"	5.00357446875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Non-neurons"	"cell_number"	13.89923803125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Total"	"cell_number"	38.4944140625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Neurons"	"cell_number"	32.104341328125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Non-neurons"	"cell_number"	6.390072734375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Total"	"cell_number"	20.34796875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Neurons"	"cell_number"	5.453255625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Non-neurons"	"cell_number"	14.894713125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Total"	"cell_number"	12.8775	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Neurons"	"cell_number"	3.98816175	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Non-neurons"	"cell_number"	8.88933825	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Total"	"cell_number"	3.748046875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Neurons"	"cell_number"	0.69713671875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Hippocampus"	"Non-neurons"	"cell_number"	3.05091015625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Total"	"cell_number"	19.8488671875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Neurons"	"cell_number"	3.056725546875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Rest"	"Non-neurons"	"cell_number"	16.792141640625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Total"	"cell_number"	31.815	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Neurons"	"cell_number"	29.65158	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cerebellum"	"Non-neurons"	"cell_number"	2.16342	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Total"	"cell_number"	15.4260546875	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Neurons"	"cell_number"	3.547992578125	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Cortex"	"Non-neurons"	"cell_number"	11.878062109375	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Total"	"cell_number"	8.9834765625	"cells"
"Mus musculus"	"BarbeitoAndrés_etal_2019"	"C"	NA	"Olfactory"	"Neurons"	"cell_number"	2.00062023046875	"cells"
