"Species_KK2004"	"common_name_KK2004"	"binomial"	"activity_pattern"	"method"	"substrate"	"va_cdeg_min"	"va_cdeg_max"	"va_as_printed"	"source_as_printed"	"source"
"Homo sapiens"	"Human"	"Homo sapiens"	"Diurnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	47	86	"47.0–86.0"	"Hirsch and Curcio, 1989; Curcio et al., 1990"	"Kirk_Kay_2004_Table2"
"Cebus apella"	"Tufted capuchin"	"Cebus apella"	"Diurnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	38.8	54.8	"38.8–54.8"	"Andrade da Costa and Hokoç, 2000"	"Kirk_Kay_2004_Table2"
"Callithrix jacchus"	"Common marmoset"	"Callithrix jacchus"	"Diurnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	30	30	"30.0"	"Troilo et al., 1993"	"Kirk_Kay_2004_Table2"
"Equus caballus"	"Domestic horse"	"Equus caballus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	16.4	20.4	"16.4–20.4"	"Timney and Keil, 1992"	"Kirk_Kay_2004_Table2"
"Camelus dromedarius"	"Dromedary camel"	"Camelus dromedarius"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	10.4	10.4	"10.4"	"Harman et al., 2001"	"Kirk_Kay_2004_Table2"
"Aotus azarae"	"Azara’s owl monkey"	"Aotus azarae"	"Nocturnal or Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	8.3	8.3	"8.3"	"Yamada et al., 2001"	"Kirk_Kay_2004_Table2"
"Felis catus"	"Domestic cat"	"Felis catus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	8.1	8.1	"8.1"	"Hughes, 1975"	"Kirk_Kay_2004_Table2"
"Otolemur crassicaudatus"	"Fat-tailed bush baby"	"Otolemur crassicaudatus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	6.2	7.5	"6.2–7.5"	"DeBruyn et al., 1980; Dkhissi-Benyahya et al., 2001"	"Kirk_Kay_2004_Table2"
"Callorhinus ursinus"	"Northern fur seal"	"Callorhinus ursinus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	5.6	7.1	"5.6–7.1"	"Mass and Supin, 1992"	"Kirk_Kay_2004_Table2"
"Myrmecobius fasciatus"	"Numbat"	"Myrmecobius fasciatus"	"Diurnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	6.3	6.3	"6.3"	"Arrese et al., 2000"	"Kirk_Kay_2004_Table2"
"Pteropus poliocephalus"	"Gray-headed flying fox"	"Pteropus poliocephalus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	5.5	5.5	"5.5"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Microcebus murinus"	"Gray mouse lemur"	"Microcebus murinus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	4.9	4.9	"4.9"	"Dkhissi-Benyahya et al., 2001"	"Kirk_Kay_2004_Table2"
