Species	area29_molecular_pct	area29_outer_main_pct	area29_inner_main_pct	area30_molecular_pct	area30_outer_main_pct	area30_inner_main_pct	area23_molecular_pct	area23_outer_main_pct	area23_granular_pct	area23_inner_main_pct	area31_molecular_pct	area31_outer_main_pct	area31_granular_pct	area31_inner_main_pct
Lemur catta	21	26	53	14	29	57	10	33	7	50	10	33	10	47
Loris tardigradus	29	34	37	22	34	44	13	31	9	47	14	34	12	40
Perodicticus potto	24	40	36	16	32	52	14	37	8	41	14	37	9	40
Nycticebus coucang	23	26	51	17	37	46	20	37	10	33	13	34	11	42
Tarsius syrichta	26	27	47	27	36	37	20	37	10	33	18	34	11	37
Callithrix jacchus	18	37	45	17	49	34	13	41	13	33	11	43	14	32
Aotus trivirgatus	24	38	38	19	42	39	11	38	12	39	11	46	12	31
Alouatta seniculus	19	41	40	20	43	37	19	42	11	28	14	45	13	29
Saimiri sciureus	19	40	41	13	52	35	13	42	14	31	9	44	13	34
Cebus albifrons	21	42	37	13	45	42	14	45	9	32	11	45	13	31
Cercopithecus mitis	19	33	48	16	44	40	17	41	12	30	12	41	15	32
Erythrocebus patas	19	33	48	16	43	41	16	43	11	30	10	45	12	33
Macaca mulatta	17	28	55	19	44	37	17	40	11	32	12	43	15	30
Cercocebus albigena	17	31	53	12	51	37	16	45	10	29	15	45	13	27
Papio sp.	19	25	56	17	44	39	15	42	9	34	15	46	11	28
Pan troglodytes	24	37	39	18	42	40	15	38	13	34	18	43	12	27
Homo sapiens	21	27	52	13	42	45	15	43	10	32	12	45	13	30
