Species	n_individuals	dorsal_cortex_mean_cm3	dorsal_cortex_SE_cm3	mesial_cortex_mean_cm3	mesial_cortex_SE_cm3	orbital_cortex_mean_cm3	orbital_cortex_SE_cm3	dorsal_GWM_mean_cm3	dorsal_GWM_SE_cm3	mesial_GWM_mean_cm3	mesial_GWM_SE_cm3	orbital_GWM_mean_cm3	orbital_GWM_SE_cm3	frontal_core_mean_cm3	frontal_core_SE_cm3	temporal_cortex_mean_cm3	temporal_cortex_SE_cm3	temporal_GWM_mean_cm3	temporal_GWM_SE_cm3	temporal_core_mean_cm3	temporal_core_SE_cm3
Homo sapiens	10	164.2	5.8	75.4	2.9	41.6	1.8	57.7	2.4	18.9	1.3	8.4	0.5	87.1	4.5	163.3	5.9	36	1.9	23.8	1.2
Pan troglodytes	5	36.3	3.6	16.9	1.6	9.6	1.1	12.5	1.3	4	0.5	1.6	0.2	18.8	2.3	38.5	3.8	6.3	0.6	5.1	0.8
Pan paniscus	3	35.7	1.6	18.4	0.3	10.6	1.4	11.9	0.9	4.8	0.6	1.7	0.1	18.3	1.5	39.1	2.2	5.4	0.2	3.6	0.2
Gorilla gorilla	2	48	4.9	23	3.3	13	1.6	12.7	1.9	5	1	2	0.3	22.1	5.3	40.8	7.1	5.4	0.3	3.4	0.02
Pongo pygmaeus	4	57.9	4.9	28.5	2.2	9.7	1.1	15.4	1.2	6.2	0.6	1.3	0.2	23.3	2.5	52.5	4.5	7.6	0.7	5.4	0.5
Hylobates lar	3	7.7	0.3	3.9	0.2	2.3	0.1	2.1	0.2	0.7	0.02	0.2	0.01	2.4	0.1	11	0.2	1.2	0.2	0.7	0.2
