"Species"	"species_as_published"	"specimen_as_published"	"area_as_published"	"n_specimens"	"GLI_pct_mean_all_layers"	"GLI_pct_mean_supragranular"	"GLI_pct_mean_granular"	"GLI_pct_mean_infragranular"	"source_location"	"data_role"
"Homo sapiens"	"human"	"human"	"area10"	1	15.17	14.4	18.04	16.04	"Table 3 (\"Grey-level index in area 10\"); one right hemisphere per species, multiple measurement locations"	"primary"
"Pan troglodytes"	"chimpanzee"	"chimpanzee"	"area10"	1	17.52	16.69	18.45	17.95	"Table 3 (\"Grey-level index in area 10\"); one right hemisphere per species, multiple measurement locations"	"primary"
"Pan paniscus"	"bonobo"	"bonobo"	"area10"	1	18.17	18.95	21.6	16.21	"Table 3 (\"Grey-level index in area 10\"); one right hemisphere per species, multiple measurement locations"	"primary"
"Gorilla gorilla"	"gorilla"	"gorilla"	"area10"	1	15.87	16.43	17.87	15.05	"Table 3 (\"Grey-level index in area 10\"); one right hemisphere per species, multiple measurement locations"	"primary"
"Pongo pygmaeus"	"orangutan"	"orangutan"	"area10"	1	20.1	19.81	21.49	19.65	"Table 3 (\"Grey-level index in area 10\"); one right hemisphere per species, multiple measurement locations"	"primary"
"Hylobates lar"	"gibbon"	"gibbon"	"area10"	1	19.8	19.43	21.64	19.56	"Table 3 (\"Grey-level index in area 10\"); one right hemisphere per species, multiple measurement locations"	"primary"
"Macaca mulatta"	"macaque"	"macaque"	"area10"	1	20.34	20.16	24.03	19.91	"Table 3 (\"Grey-level index in area 10\"); one right hemisphere per species, multiple measurement locations"	"primary"
