"Species_Reader2011"	"Genus_Reader2011"	"SpeciesPurvis"	"GenusPurvis"	"species_sci"	"Taxon"	"Great_ape"	"Innovation"	"Tool_use"	"Extractive_foraging"	"Social_learning"	"Innovation_reduced"	"Tool_use_reduced"	"Extractive_foraging_reduced"	"Journal_search_article_count"	"Zoological_record_article_count"	"Journal_reports_2002"	"Innovation_2002"	"Social_learning_2002"	"Tool_use_2002"
"Ateles belzebuth"	"Ateles"	"Ateles belzebuth"	"Ateles"	"Ateles belzebuth"	"Simian"	"No"	0	0	0	0	0	0	0	4	12	2	0	0	0
"Ateles chamek"	"Ateles"	"Ateles chamek"	"Ateles"	"Ateles chamek"	"Simian"	"No"	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA
"Ateles fusciceps"	"Ateles"	"Ateles fusciceps"	"Ateles"	"Ateles fusciceps"	"Simian"	"No"	0	0	0	0	0	0	0	2	4	NA	NA	NA	NA
"Ateles geoffroyi"	"Ateles"	"Ateles geoffroyi"	"Ateles"	"Ateles geoffroyi"	"Simian"	"No"	0	0	0	2	0	0	0	23	58	5	0	2	0
"Ateles paniscus"	"Ateles"	"Ateles paniscus"	"Ateles"	"Ateles paniscus"	"Simian"	"No"	0	0	0	0	0	0	0	5	30	2	0	0	0
"Callimico goeldii"	"Callimico"	"Callimico goeldii"	"Callimico"	"Callimico goeldii"	"Simian"	"No"	1	0	1	0	0	0	0	19	43	6	1	0	0
"Callithrix argentata"	"Callithrix"	"Callithrix argentata"	"Callithrix"	"Callithrix argentata"	"Simian"	"No"	0	0	0	0	0	0	0	3	16	NA	NA	NA	NA
"Callithrix aurita"	"Callithrix"	"Callithrix aurita"	"Callithrix"	"Callithrix aurita"	"Simian"	"No"	0	0	0	0	0	0	0	4	NA	NA	NA	NA	NA
"Callithrix flaviceps"	"Callithrix"	"Callithrix flaviceps"	"Callithrix"	"Callithrix flaviceps"	"Simian"	"No"	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA
"Callithrix geoffroyi"	"Callithrix"	"Callithrix geoffroyi"	"Callithrix"	"Callithrix geoffroyi"	"Simian"	"No"	0	0	0	0	0	0	0	8	NA	NA	NA	NA	NA
"Callithrix humeralifer"	"Callithrix"	"Callithrix humeralifer"	"Callithrix"	"Callithrix humeralifer"	"Simian"	"No"	0	0	0	0	0	0	0	NA	4	NA	NA	NA	NA
"Callithrix jacchus"	"Callithrix"	"Callithrix jacchus"	"Callithrix"	"Callithrix jacchus"	"Simian"	"No"	1	0	2	2	0	0	1	99	161	29	1	1	0
"Callithrix kuhli"	"Callithrix"	"Callithrix kuhli"	"Callithrix"	"Callithrix kuhli"	"Simian"	"No"	0	0	0	0	0	0	0	21	NA	NA	NA	NA	NA
"Callithrix mauesi"	"Callithrix"	"Callithrix mauesi"	"Callithrix"	"Callithrix mauesi"	"Simian"	"No"	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA
"Callithrix penicillata"	"Callithrix"	"Callithrix penicillata"	"Callithrix"	"Callithrix penicillata"	"Simian"	"No"	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA
"Callithrix pygmaea"	"Callithrix"	"Cebuella pygmaea"	"Cebuella"	"Callithrix pygmaea"	"Simian"	"No"	1	0	0	0	1	0	0	5	36	3	1	0	0
