Species	area29_outer_main_GLI	area29_inner_main_GLI	area30_outer_main_GLI	area30_inner_main_GLI	area23_outer_main_GLI	area23_granular_GLI	area23_inner_main_GLI	area31_outer_main_GLI	area31_granular_GLI	area31_inner_main_GLI
Lemur catta	29.2	15.7	24.4	17.9	21.7	23.5	19.5	21.5	24.3	19.9
Loris tardigradus	28.4	22.3	24.1	23.5	26.9	28.3	27.9	24.8	29.6	29.4
Perodicticus potto	27	19.4	17.3	17.4	15	17	18.6	14.9	16.4	18.6
Nycticebus coucang	20.5	15.1	14	13.9	12.5	13.4	16.3	13.4	13.7	17.2
Tarsius syrichta	40.1	30.5	28.8	29.1	26.7	29.8	30.1	22.8	27.2	26.8
Callithrix jacchus	30	24.3	25.6	24.6	25.7	29.4	27.4	26.6	30.2	26.6
Aotus trivirgatus	27.5	21	17.9	22.9	16.2	25.3	21.9	12.5	24	18.8
Alouatta seniculus	14.1	16.9	12.7	13.8	9.6	9.3	11.4	8.5	10.9	13.7
Saimiri sciureus	34.4	25.4	26.5	34.3	25.5	39.8	37.7	25.7	42.1	32.9
Cebus albifrons	20.8	20	17.9	23	19.5	27.1	26.5	18.1	24.5	21.6
Cercopithecus mitis	24.4	18.2	22.8	20	22.9	27.1	22.6	23.6	30.2	24
Erythrocebus patas	18.9	13.7	16.5	15.5	11.6	20.2	17.3	14.3	25.4	21.6
Macaca mulatta	22.4	16.1	18.3	15.8	18.7	19.6	19.9	14.9	17.5	17.8
Cercocebus albigena	16.3	16.8	14.3	14.9	8.9	11.8	13.5	9.5	14.6	13.5
Papio sp.	17.9	14	14.3	12.9	12.2	14.9	15	11.1	15.6	15.6
Pan troglodytes	9	9	8.8	8.9	9	8.8	8.1	6.4	8.4	7.9
Homo sapiens	10	6.9	9.8	8.2	9.7	11	9.4	10.1	12.4	10.1
