"animal_printed"	"species_sci"	"V1_pct_neocortex"	"V2_pct_neocortex"	"A1_pct_neocortex"	"S1_pct_neocortex"	"M1_pct_neocortex"	"n_areas_reported"	"source"
"Shrew"	"Soricidae sp."	5.445	NA	4.23	12.651	NA	3	"Changizi_Shimojo_2005_Table2"
"Mouse"	"Mus musculus"	NA	NA	NA	NA	NA	0	"Changizi_Shimojo_2005_Table2"
"Star-nosed mole"	"Condylura cristata"	0.962	NA	4.502	23.837	NA	3	"Changizi_Shimojo_2005_Table2"
"Ghost bat"	"Macroderma gigas"	3.833	NA	9.402	13.815	NA	3	"Changizi_Shimojo_2005_Table2"
"Tenrec"	"Echinops telfairi"	6.054	NA	4.344	10.235	NA	3	"Changizi_Shimojo_2005_Table2"
"Tree shrew"	"Tupaia belangeri"	23.635	6.194	3.899	8.701	NA	4	"Changizi_Shimojo_2005_Table2"
"Hedgehog"	"Atelerix albiventris"	10.764	6.158	6.436	14.526	10.463	5	"Changizi_Shimojo_2005_Table2"
"Quoll"	"Dasyurus hallucatus"	21.095	6.708	2.957	11.449	5.845	5	"Changizi_Shimojo_2005_Table2"
"Opossum"	"Didelphis marsupialis"	12.659	6.062	8.859	NA	NA	3	"Changizi_Shimojo_2005_Table2"
"Squirrel"	"Sciurus carolinensis"	19.68	4.486	1.584	8.081	4.573	5	"Changizi_Shimojo_2005_Table2"
"Flying fox"	"Pteropus poliocephalus"	14.636	5.133	1.026	8.198	6.05	5	"Changizi_Shimojo_2005_Table2"
"Marmoset"	"Callithrix jacchus"	15.375	6.468	0.678	4.029	4.772	5	"Changizi_Shimojo_2005_Table2"
"Platypus"	"Ornithorhynchus anatinus"	1.607	NA	1.198	22.035	10.203	4	"Changizi_Shimojo_2005_Table2"
"Echidna"	"Tachyglossus aculeatus"	8.331	NA	1.401	7.557	13.534	4	"Changizi_Shimojo_2005_Table2"
"Owl monkey"	"Aotus trivirgatus"	14.714	6.982	1.468	3.678	2.097	5	"Changizi_Shimojo_2005_Table2"
"Macaque"	"Macaca mulatta"	17.699	9.463	0.468	1.664	1.897	5	"Changizi_Shimojo_2005_Table2"
