"marker_id"	"functional_interaural_distance_us"	"high_freq_hearing_limit_60dB_kHz"	"species_label_as_printed"	"label_confidence"	"caption_group"	"excluded_from_regression"	"marker_filled"	"marker_grey_fill"	"value_origin"	"note"
"m001"	39.7242	91.4983	"Domestic mouse | Wild mouse"	"AMBIGUOUS_marker_claimed_by_2_labels"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	"two printed labels resolve to this marker"
"m002"	59.4807	11.6647	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m003"	59.4811	11.1285	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m004"	60.0585	77.8649	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m005"	60.7221	67.7108	"Dog-faced fruit bat"	"leader_line_unvalidated"	"bat (square)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m006"	60.7221	87.6538	""	"unlabelled_in_figure"	""	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m007"	62.4415	11.1285	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m008"	62.4417	11.6647	"Naked mole rat"	"validated_vs_Koay1998"	"subterranean rodent (diamond)"	"TRUE"	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m009"	63.7696	74.2815	"Darwin's mouse"	"validated_vs_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m010"	64.2171	70.6807	"Grasshopper mouse | Spinymouse"	"AMBIGUOUS_marker_claimed_by_2_labels"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	"two printed labels resolve to this marker"
"m011"	64.905	72.4114	"Cotton rat"	"validated_vs_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m012"	69.3875	80.7476	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m013"	74.7884	138.074	"Porpoise | Short-tailed fruit bat"	"AMBIGUOUS_marker_claimed_by_2_labels"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	"two printed labels resolve to this marker"
"m014"	75.8292	60.149	"Gerbil | Kangaroo rat"	"AMBIGUOUS_marker_claimed_by_2_labels"	"rodent (grey fill)"	""	"FALSE"	"TRUE"	"digitised_from_figure"	"two printed labels resolve to this marker"
"m015"	79.608	71.0648	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m016"	79.7183	102.443	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m017"	79.8291	121.354	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m018"	84.7379	5.97943	"Blind mole rat"	"validated_vs_Koay1998"	"subterranean rodent (diamond)"	"TRUE"	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m019"	84.7381	5.70458	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m020"	86.6648	57.6223	"Wood rat"	"CHECK_value_differs_from_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m021"	89.0795	5.97943	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m022"	89.0799	5.70458	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m023"	89.6001	51.7346	"Chipmunk"	"CHECK_value_differs_from_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m024"	108.189	51.7346	""	"unlabelled_in_figure"	""	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m025"	108.786	8.40222	"Gopher"	"validated_vs_Koay1998"	"subterranean rodent (diamond)"	"TRUE"	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m026"	108.786	8.80705	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m027"	111.075	8.63118	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m028"	114.341	46.4638	"Hamster"	"validated_vs_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m029"	114.341	76.1991	"Egyptian fruit bat"	"CHECK_value_differs_from_Koay1998"	"bat (square)"	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m030"	114.359	8.40222	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m031"	114.359	8.80705	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m032"	115.642	55.7921	""	"unlabelled_in_figure"	""	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m033"	119.055	91.7491	"Common vampire bat | Jamaican fruit bat"	"AMBIGUOUS_marker_claimed_by_2_labels"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	"two printed labels resolve to this marker"
"m034"	119.559	25.9934	"Black-tailed prairie dog | White-tailed prairie dog"	"AMBIGUOUS_marker_claimed_by_2_labels"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	"printed group heading 'Prairiedogs' resolves here; the species labels are the two prairie dogs; two printed labels resolve to this marker"
"m035"	121.391	56.1656	"Cottontail"	"validated_vs_Koay1998"	"rabbit (star)"	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m036"	131.203	38.8056	"Straw-colored fruit bat"	"leader_line_unvalidated"	"bat (square)"	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m037"	133.584	25.9934	""	"unlabelled_in_figure"	""	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m038"	135.06	45.9718	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m039"	136.598	60.7925	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m040"	142.596	44.991	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m041"	149.253	67.7108	"Hooded rat"	"validated_vs_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m042"	154.308	49.0363	"Fox squirrel"	"validated_vs_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m043"	159.535	49.0363	"Guinea pig"	"validated_vs_Koay1998"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m044"	166.818	58.8626	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m045"	170.525	29.8912	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m046"	180.278	41.7299	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m047"	212.949	64.8459	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m048"	217.753	41.7299	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m049"	217.753	44.0261	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m050"	225.129	32.2355	"Chinchilla | Groundhog"	"AMBIGUOUS_marker_claimed_by_2_labels"	"rodent (grey fill)"	""	"TRUE"	"TRUE"	"digitised_from_figure"	"two printed labels resolve to this marker"
"m051"	225.129	50.0923	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m052"	247.742	49.4975	"Domestic rabbit"	"validated_vs_Koay1998"	"rabbit (star)"	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m053"	257.214	78.6979	"Cat"	"validated_vs_Koay1998"	"rodent (grey fill)"	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m054"	264.806	101.075	"Killer whale"	"CHECK_value_differs_from_Koay1998"	"aquatic/amphibious (triangle)"	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m055"	268.865	43.0985	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m056"	271.838	67.7111	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m057"	281.044	57.6224	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m058"	290.565	27.4327	""	"unlabelled_in_figure"	""	""	"TRUE"	"TRUE"	"digitised_from_figure"	""
"m059"	300.405	43.0985	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m060"	392.131	34.753	""	"unlabelled_in_figure"	""	""	"FALSE"	"TRUE"	"digitised_from_figure"	""
"m061"	400.983	44.9886	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m062"	400.983	47.988	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m063"	410.032	41.7299	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m064"	419.143	41.7299	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m065"	423.918	40.8375	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m066"	433.341	44.0261	"PigReindeer"	"leader_line_unvalidated"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	"Pig / Reindeer (two adjacent labels; marker not resolvable between them)"
