Original_Term,Reference,Standardized_Term
species,Reep_etal_2007_Table1,Species
medulla_mm3,Reep_etal_2007_Table1,Medulla_oblongata_Vol.mm3
cerebellum_mm3,Reep_etal_2007_Table1,Cerebellum_Vol.mm3
mesencephalon_mm3,Reep_etal_2007_Table1,Mesencephalon_Vol.mm3
diencephalon_mm3,Reep_etal_2007_Table1,Diencephalon_excluding_globus_pallidus_Vol.mm3
striatum_mm3,Reep_etal_2007_Table1,Striatum_including_globus_pallidus_Vol.mm3
septum_mm3,Reep_etal_2007_Table1,Septum_Vol.mm3
amygdala_mm3,Reep_etal_2007_Table1,Amygdala_Vol.mm3
paleocortex_mm3,Reep_etal_2007_Table1,Palaeocortex_Vol.mm3
hippocampus_mm3,Reep_etal_2007_Table1,Hippocampus_Vol.mm3
schizocortex_mm3,Reep_etal_2007_Table1,Schizo_cortex_Vol.mm3
isocortex_mm3,Reep_etal_2007_Table1,Neocortex_Vol.mm3
