Original_Term,Reference,Standardized_Term
Species,Stephan_etal_1988_TABLE1,Species
BoW_g,Stephan_etal_1988_TABLE1,Body_Mass.g
BrW_mg,Stephan_etal_1988_TABLE1,Brain_Mass.mg
