Original_Term,Reference,Standardized_Term
species,Sherwood_etal_2004_viaDeCasien2019,Species
brain_volume_mm3,Sherwood_etal_2004_viaDeCasien2019,Total_brain_net_volume_Vol.mm3
thalamus_mm3,Sherwood_etal_2004_viaDeCasien2019,Thalamus_Vol.mm3
