Original_Term,Reference,Standardized_Term
Species,Heuer_etal_2018_SupplementaryData,Species
brain_volume,Heuer_etal_2018_SupplementaryData,Total_brain_net_volume_Vol.mm3
telencephalon_volume,Heuer_etal_2018_SupplementaryData,Telencephalon_Vol.mm3
neocortex_volume,Heuer_etal_2018_SupplementaryData,Neocortex_Vol.mm3
cerebellum_volume,Heuer_etal_2018_SupplementaryData,Cerebellum_Vol.mm3
diencephalon_volume,Heuer_etal_2018_SupplementaryData,Diencephalon_Vol.mm3
mesencephalon_volume,Heuer_etal_2018_SupplementaryData,Mesencephalon_Vol.mm3
hippocampus_volume,Heuer_etal_2018_SupplementaryData,Hippocampus_Vol.mm3
amygdala_volume,Heuer_etal_2018_SupplementaryData,Amygdala_Vol.mm3
striatum_volume,Heuer_etal_2018_SupplementaryData,Striatum_Vol.mm3
