Original_Term,Reference,Standardized_Term
Species_Matano1986,Matano__1986_TableI,Species
body_weight_g,Matano__1986_TableI,Body_Mass.g
Nucleus_vestibularis_superior_unilateral_mm3,Matano__1986_TableI,Nucleus_vestibularis_superior_unilateral_Vol.mm3
Nucleus_vestibularis_lateralis_unilateral_mm3,Matano__1986_TableI,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3
Nucleus_vestibularis_medialis_unilateral_mm3,Matano__1986_TableI,Nucleus_vestibularis_medialis_unilateral_Vol.mm3
Nucleus_vestibularis_descendens_unilateral_mm3,Matano__1986_TableI,Nucleus_vestibularis_descendens_unilateral_Vol.mm3
Complexus_vestibularis_unilateral_mm3,Matano__1986_TableI,Complexus_vestibularis_unilateral_Vol.mm3
