"Area","n","Basal_dendritic_field_area_um2_mean","Basal_dendritic_field_area_um2_SD","Max_branches_at_75um_from_soma_mean","Max_branches_at_75um_from_soma_SD","Total_spines_basal_dendritic_field_avg_neuron"
"Area10",29,133200,3700,32.35,4.41,8766
"Area11",37,123700,4640,33.51,5.51,9786
"Area12",21,126800,5580,,,10564
"V1",136,,,,,643
"Area7a",40,,,,,2572
"AreaTE",50,,,,,7260
