"Species","Individual","Collection","measurement_software","sides_measured","total_insula_L_mm3","total_insula_R_mm3","total_insula_LR_mm3","asymmetry_pct_total","granular_LR_mm3","dysgranular_LR_mm3","agranular_LR_mm3","FI_LR_mm3"
"Alouatta caraya","890708","GAAP","StereoInvestigator","left only",272,NA,NA,NA,NA,NA,NA,NA
"Ateles geoffroyi","3371","Stephan","ImageJ","left only",416,NA,NA,NA,NA,NA,NA,NA
"Avahi laniger","3244","Stephan","ImageJ","left only",38,NA,NA,NA,NA,NA,NA,NA
"Callithrix pygmaea","3289","Stephan","ImageJ","left only",11,NA,NA,NA,NA,NA,NA,NA
"Cebus albifrons","3317","Stephan","ImageJ","left only",297,NA,NA,NA,NA,NA,NA,NA
"Cercocebus agilis","980820","GAAP","StereoInvestigator","left only",379,NA,NA,NA,NA,NA,NA,NA
"Cercopithecus kandti","201202","GAAP","StereoInvestigator","left only",614,NA,NA,NA,NA,NA,NA,NA
"Colobus angolensis","M00652","GAAP","StereoInvestigator","left only",222,NA,NA,NA,NA,NA,NA,NA
"Galagoides demidoff","3275","Stephan","ImageJ","left only",12,NA,NA,NA,NA,NA,NA,NA
"Gorilla gorilla","439","GAAP","ImageJ","left only",2180,NA,NA,NA,NA,NA,NA,NA
"Gorilla gorilla","862094","GAAP","ImageJ","both",1982,1757,3739,6.01765177855041,815,1871,755,297
"Gorilla gorilla","OON1072","GAAP","ImageJ","left only",2510,NA,NA,NA,NA,NA,NA,NA
"Gorilla gorilla","YN82-140","UCSD","StereoInvestigator","both",1910,2084,3994,-4.3565348022033,404,1890,1549,150
"Homo sapiens","H9-88","UCSD","StereoInvestigator","both",7734,7809,15543,-0.482532329666088,4340,6830,3580,792
"Homo sapiens","MU-88-65","Yakovlev-Haleem","StereoInvestigator","both",6463,5445,11908,8.54887470607995,2546,4917,3491,953
"Homo sapiens","SN207-84","UCSD","StereoInvestigator","both",6908,5980,12888,7.20049658597145,4160,4831,3315,582
"Homo sapiens","STD-IIA-54","Yakovlev-Haleem","StereoInvestigator","both",4068,4262,8330,-2.32893157262905,2071,4600,874,785
"Homo sapiens","W2-2-70","Yakovlev-Haleem","StereoInvestigator","both",7222,7255,14477,-0.22794777923603,3415,7488,2626,951
"Hylobates lar","YN81-146","Stephan","ImageJ","left only",289,NA,NA,NA,NA,NA,NA,NA
"Hylobates muelleri","970431","GAAP","StereoInvestigator","left only",539,NA,NA,NA,NA,NA,NA,NA
"Indri indri","3249","Stephan","ImageJ","left only",167,NA,NA,NA,NA,NA,NA,NA
"Leontopithecus rosalia","950728","GAAP","StereoInvestigator","left only",37,NA,NA,NA,NA,NA,NA,NA
"Lophocebus albigena","3407","Stephan","ImageJ","left only",536,NA,NA,NA,NA,NA,NA,NA
"Loris tardigradus","3253","Stephan","ImageJ","left only",12,NA,NA,NA,NA,NA,NA,NA
"Macaca maura","M1005","GAAP","StereoInvestigator","left only",492,NA,NA,NA,NA,NA,NA,NA
"Pan paniscus","MCZ-2007-52","GAAP","StereoInvestigator","both",1775,1470,3245,9.39907550077042,517,1823,658,249
"Pan paniscus","Nambo","GAAP","ImageJ","both",1543,1631,3174,-2.77252678008822,477,1499,878,320
"Pan paniscus","Zahlia","UCSD","StereoInvestigator","both",1753,1665,3418,2.57460503218256,600,1867,621,330
"Pan troglodytes","CA0171","GAAP","ImageJ","both",1387,1468,2855,-2.83712784588441,703,1569,371,212
"Pan troglodytes","YN00-170","GAAP","StereoInvestigator","both",1473,1188,2661,10.7102593010147,1344,967,235,116
"Pan troglodytes","YN01-92","GAAP","StereoInvestigator","left only",1942,NA,NA,NA,NA,NA,NA,NA
"Perodicticus potto","3259","Stephan","ImageJ","left only",31,NA,NA,NA,NA,NA,NA,NA
"Piliocolobus badius","3477","Stephan","ImageJ","left only",241,NA,NA,NA,NA,NA,NA,NA
"Pithecia pithecia","M30709","GAAP","StereoInvestigator","left only",279,NA,NA,NA,NA,NA,NA,NA
"Pongo abelii","M00305","GAAP","ImageJ","both",1204,1199,2403,0.208073241781107,452,1274,678,0
"Pongo abelii","Thelma","GAAP","ImageJ","left only",1112,NA,NA,NA,NA,NA,NA,NA
"Pongo pygmaeus","Briggs","UCSD","StereoInvestigator","both",1505,1446,2951,1.99932226363944,282,1694,842,132
"Pongo pygmaeus","Sabtu","GAAP","ImageJ","right only",NA,1784,NA,NA,NA,NA,NA,NA
"Saguinus geoffroyi","900722","GAAP","StereoInvestigator","left only",23,NA,NA,NA,NA,NA,NA,NA
"Saguinus oedipus","3311","Stephan","ImageJ","left only",26,NA,NA,NA,NA,NA,NA,NA
"Symphalangus syndactylus","880804","GAAP","StereoInvestigator","left only",416,NA,NA,NA,NA,NA,NA,NA
"Trachypithecus francoisi","51106","GAAP","StereoInvestigator","left only",625,NA,NA,NA,NA,NA,NA,NA
"Varecia variegata","3227","Stephan","ImageJ","left only",100,NA,NA,NA,NA,NA,NA,NA
