Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species binomial AS PUBLISHED,,Species,,primary,Chiroptera,Stephan_Pirlot_1970_Table1,Chaerophon leucostigma and Vampyrops helleri are historical names - resolve via paper-scoped key,
medulla_oblongata_mm3,medulla oblongata volume (col 1),medulla oblongata,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,incl. whole nucleus of lemniscus lateralis (Fig. 2 legend),
cerebellum_mm3,cerebellum volume (col 2),cerebellum,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
mesencephalon_mm3,mesencephalon volume (col 3),mesencephalon,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,substantia reticularis of oblongata included in medulla per Fig. 2 legend,
diencephalon_mm3,diencephalon volume (col 4),diencephalon,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
bulbus_olfactorius_mm3,olfactory bulb volume (col 5),olfactory bulb,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
palaeocortex_plus_amygdala_mm3,"palaeocortex + nucleus amygdalae complex (col 6, 'Palaeocortex + NA')",palaeocortex+amygdala,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,Stephan-school complex; not comparable to palaeocortex-only columns,
septum_mm3,septum volume (col 7),septum,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
striatum_mm3,striatum volume (col 8),striatum,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
schizocortex_mm3,schizocortex volume (col 9),schizocortex,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,Rose: entorhinal + perirhinal + praesubicular regions,
hippocampus_mm3,hippocampus volume (col 10),hippocampus,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
neocortex_mm3,neocortex volume (col 11),neocortex,volume,value mm3,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
telencephalon_total_mm3,telencephalon total (col 12) = cols 5-11,telencephalon,volume,value mm3,derived-in-source,Chiroptera,Stephan_Pirlot_1970_Table1,additivity verified all species,
total_brain_mm3,total brain volume (col 13) = cols 1-4 + 12,brain,volume,value mm3,derived-in-source,Chiroptera,Stephan_Pirlot_1970_Table1,additivity verified all species,
body_weight_g,body weight (col 14),body,mass,value g,primary,Chiroptera,Stephan_Pirlot_1970_Table1,,
n_brains,brains measured per species,,,n,info,Chiroptera,Stephan_Pirlot_1970_Table1,"2 for Asellia tridens AND Glossophaga soricina (Methods p.206), 1 otherwise; registry note names only Asellia - update it",
note,correction/definition provenance,,,,provenance,Chiroptera,Stephan_Pirlot_1970_Table1,,
source,registry item key,,,,provenance,Chiroptera,Stephan_Pirlot_1970_Table1,,
