"Animal_Nudo1995","animal_common_Nudo1995","gs_initials_Nudo1995","Order_Nudo1995","Order_resolved","species_sci","avg_surface_density.cells_per_mm2","CS_layer_thickness.mm","max_volume_density.cells_per_mm3","column_height.cells","concentration_pct","concentration_large_cells_pct","rostral_caudal_density_ratio","condensation_pct","medial_lateral_position_pct","parse_flags"
"Albino rat/R.n./Rodentia","Albino rat","R.n.","Rodentia","Rodentia","Rattus norvegicus",639,0.38,6475,5.02,26.7,78.7,0.89,93,29,NA
"Armadillo/D.n./Edentata","Armadillo","D.n.","Edentata","Edentata","Dasypus novemcinctus",140,0.18,4089,2.51,35.8,NA,0.8,84.7,29,NA
"Bushbaby/G.s./Primates","Bushbaby","G.s.","Primates","Primates","Galago senegalensis",830,0.38,11918,7.61,34.4,91.6,3.23,96.9,27,NA
"Cat/F.c./Carnivora","Cat","F.c.","Carnivora","Carnivora","Felis catus",173,0.17,11526,2.37,36.7,69,6.67,99.4,65,NA
"Gray squirrel/S.c./Rodentia","Gray squirrel","S.c.","Rodentia","Rodentia","Sciurus carolinensis",414,0.36,5283,3.28,28.3,73.5,2.86,95,30,NA
"Ground squirrel/C.t./Rodentia","Ground squirrel","C.t.","Rodentia","Rodentia","Spermophilus tridecemlineatus",800,0.38,9751,6.76,36.8,89.8,1.1,93.7,33,NA
"Hedgehog/E.a./Insectivora","Hedgehog","E.a.","Insectivora","Insectivora","Atelerix albiventris",257,0.17,5432,2.66,18.8,42.9,0.85,94.1,56,NA
"Hedgehog/E.e./Insectivora","Hedgehog","E.e.","Insectivora","Insectivora","Erinaceus europaeus",195,0.35,2640,5.02,28.4,55.2,0.93,92.7,32,NA
"Hedgehog/H.a./Insectivora","Hedgehog","H.a.","Insectivora","Insectivora","Hemiechinus auritus",138,0.19,3965,2.57,15.7,61,1.22,96.8,38,NA
"Hyrax/P.c./Hyracoidea","Hyrax","P.c.","Hyracoidea","Hyracoidea","Procavia capensis",258,0.35,3280,4,NA,NA,1.39,84.5,64,NA
"Least shrew/C.p./Insectivora","Least shrew","C.p.","Insectivora","Insectivora","Cryptotis parva",245,0.15,5116,2.68,10.7,NA,1,93.1,50,NA
"Marmoset/C.j./Primates","Marmoset","C.j.","Primates","Primates","Callithrix jacchus",355,0.35,4248,4.13,21.8,80.5,1.82,98.5,33,NA
"Mole/S.a./Insectivora","Mole","S.a.","Insectivora","Insectivora","Scalopus aquaticus",802,0.21,17848,7.21,34.1,52.6,1.41,92.2,35,NA
"Monkey/C.a./Primates","Monkey","C.a.","Primates","Primates","Chlorocebus aethiops",106,0.37,2849,2.36,19.6,63.3,5.26,99,78,NA
"Monkey/M.f./Primates","Monkey","M.f.","Primates","Primates","Macaca fascicularis",76,0.26,1372,2.29,9.1,79.5,10,98.9,54,NA
"Monkey/M.m./Primates","Monkey","M.m.","Primates","Primates","Macaca mulatta",108,0.41,1196,2.23,13.2,86.1,1.64,94.3,78,NA
"Monkey/S.s./Primates","Monkey","S.s.","Primates","Primates","Saimiri sciureus",178,0.38,2302,2.43,13.9,69.7,2.7,94.6,68,NA
"Opossum/D.v./Marsupialia","Opossum","D.v.","Marsupialia","Marsupialia","Didelphis virginiana",298,0.2,4781,2.56,23.1,65.2,1.16,83.7,55,NA
"Opossum/M.d./Marsupialia","Opossum","M.d.","Marsupialia","Marsupialia","Monodelphis domestica",168,0.1,7125,2.67,15.9,43.4,1.25,78.7,54,NA
"Rabbit/O.c./Lagamorpha","Rabbit","O.c.","Lagamorpha","Lagomorpha","Oryctolagus cuniculus",116,0.46,1348,2.45,20.8,71.4,2.13,94.8,39,"order printed 'Lagamorpha' - typographic error for 'Lagomorpha'"
"Raccoon/P.l./Carnivora","Raccoon","P.l.","Carnivora","Carnivora","Procyon lotor",103,0.38,2368,3.27,27.9,87.5,3.23,98.1,61,NA
"Slow loris/N.c./Primates","Slow loris","N.c.","Primates","Primates","Nycticebus coucang",263,0.71,1417,4.06,12.6,79.1,3.45,94,56,NA
"Tree shrew/T.g./Scandentia","Tree shrew","T.g.","Scandentia","Scandentia","Tupaia glis",474,0.31,6555,4.97,28.7,76.9,2.86,90.9,64,NA
"Vole/P.p./Rodentia","Vole","P.p.","Rodentia","Rodentia","Microtus pinetorum",685,0.33,7821,6.1,26.3,81.8,1.18,91,40,NA
