Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
total_prosencephalon_volume_mm3,Total prosencephalon volume,Prosencephalon,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,One right hemisphere per species,
neocortex_volume_mm3,Neocortex volume,Neocortex,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,One right hemisphere per species,
forebrain_white_matter_volume_mm3,Forebrain white-matter volume,Forebrain white matter,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,Source label white,
thalamus_volume_mm3,"Dorsal, epithalamic and ventral thalamic volume including fiber tracts; pretectal nuclei excluded",Thalamus,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,Definition differs from some project thalamus terms,
caudate_putamen_accumbens_volume_mm3,Caudate-putamen-accumbens complex volume,Caudate-putamen-accumbens,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,Source abbreviation cau,
globus_pallidus_volume_mm3,Globus pallidus volume,Globus pallidus,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,,
basal_forebrain_volume_mm3,Source-defined basal forebrain volume,Basal forebrain,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,Composite definition retained in README,
hippocampus_volume_mm3,Source-defined hippocampal complex volume,Hippocampus,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,"Includes Ammon's horn, subiculum, dentate gyrus and anterior continuation",
hypothalamus_volume_mm3,Hypothalamic nuclei and inclusive fiber bundles,Hypothalamus,Vol.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,,
corticothalamic_ratio,Printed neocortex-to-thalamus ratio,Neocortex / thalamus,ratio,value,secondary,Hystricomorph rodents,Campos_Welker_1976_Table1,Derived; guinea-pig printed ratio does not reproduce from printed component volumes,
cortical_surface_area_mm2,Total cortical surface area,Neocortex,Area.mm2,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,,
cortical_fissure_area_mm2,Cortical surface area in fissures,Neocortex,Area.mm2,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,,
cortical_surface_in_fissures_pct,Percent cortical surface in fissures,Neocortex,pct.area,value,secondary,Hystricomorph rodents,Campos_Welker_1976_Table1,Derived percentage,
cortical_thickness_mm,Cortical thickness,Neocortex,Length.mm,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,,
neocortex_mean_neurons_per_sample,Mean neurons per 162000 um3 sample,Neocortex,Count.sample,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,All neurons containing nucleoli counted,
caudate_mean_neurons_per_sample,Mean neurons per 162000 um3 sample,Caudate-putamen-accumbens,Count.sample,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,All neurons containing nucleoli counted,
neocortex_neuronal_density_per_mm3,Neuronal density,Neocortex,Density.cells.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,6173 sample volumes per mm3,
caudate_neuronal_density_per_mm3,Neuronal density,Caudate-putamen-accumbens,Density.cells.mm3,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,6173 sample volumes per mm3,
neocortex_total_neuron_number,Estimated total neuron number,Neocortex,Count.cells,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,Volume multiplied by density,
caudate_total_neuron_number,Estimated total neuron number,Caudate-putamen-accumbens,Count.cells,value,primary,Hystricomorph rodents,Campos_Welker_1976_Table1,Volume multiplied by density,
