"species","species_as_published","frontal_pole_ven_pct","frontal_pole_fork_pct","acc_ven_pct","acc_fork_pct","anterior_insula_ven_pct","anterior_insula_fork_pct","occipital_pole_ven_pct","occipital_pole_fork_pct","cortical_layer","n_individuals","adult","source"
NA,"Bowhead whale",24,10,21,6,14,1,3,3,"V",1,TRUE,"Raghanti_etal_2015"
NA,"Rock hyrax",0,0,0,0,0,0,0,0,"V",1,TRUE,"Raghanti_etal_2015"
NA,"Cow",9,2,6,1,8,6,3,0.4,"V",1,FALSE,"Raghanti_etal_2015"
NA,"Pig",6,1,8,2,3,1,1,0,"V",1,TRUE,"Raghanti_etal_2015"
NA,"Deer",5,1,5,1,2,0.4,0.5,0.5,"V",1,TRUE,"Raghanti_etal_2015"
NA,"Sheep",7,2,7,2,4,2,0.4,1,"V",1,TRUE,"Raghanti_etal_2015"
NA,"Horse",11,3,15,2,5,5,2,2,"V",1,TRUE,"Raghanti_etal_2015"
NA,"Human",0,0,13,1,11,4,0,0,"V",1,TRUE,"Raghanti_etal_2015"
