TABLE 1. Brain components in percentage of total brain and volumes (absolute volumes in parentheses)

Brain component,Cynocephalus %,Cynocephalus vol,Iomys %,Iomys vol,Glaucomys %,Glaucomys vol,Pteropodids (avg of 7 spp) %,Pteropodids vol range
BO,2.25,130.5,2.08,43.5,2.7,24.2,4.15,31-206
N,37.65,2175.2,33.68,705.3,35.1,315.8,34.7,223-2385
RH,10.33,599.0,6.44,135.0,7.97,71.7,7.18,64-376
S,0.77,44.5,1.11,23.2,0.95,8.5,1.48,15-69
D,11.17,645.5,10.59,221.9,11.53,103.7,9.45,79-514
St,4.2,242.4,6.13,128.4,5.51,49.5,6.13,38-392
H,5.79,335.1,7.88,165.1,7.57,68.0,6.72,81-287
M,6.19,357.8,6.96,145.7,4.99,44.9,5.43,47-238
C,11.02,636.8,13.7,287.1,11.71,105.4,13.6,117-710
O,7.21,416.5,9.79,205.1,9.42,84.7,7.6,78-325
Sz,3.42,198.0,1.64,34.2,2.55,22.9,3.56,25-186
%,100.00,,100.00,,100.00,,100.00,
Total,,5781.1,,2094.6,,899.3,,822-5701

Abbreviations: BO bulbus olfactorius; N neocortex; RH rhinencephalon; S septum; D diencephalon; St striatum; H hippocampus; M mesencephalon; C cerebellum; O medulla oblongata; Sz schizocortex.
"Pteropodids = average for seven pteropodid (frugivorous Megachiroptera) species, estimated from Stephan et al. (1974); range in parentheses across those species, not a single specimen."
