short_name,name,description and reference,description 1,description 2,reference,note
species_sci,species_sci,,,,,
species_phylo_order,species_phylo_order,,,,,
species_phylo,species_phylo,,,,,
species_long,species_long,,,,,
species_short,species_short,,,,,
species_alt,species_alt,,,,,
species_alt2,species_alt2,,,,,
species_id,species_id,,,,,
species_taxid,species_taxid,,,,,
superclade,superclade,,,,,
clade,clade,,,,,
subclade,subclade,,,,,
species_color,species_color,,,,,
phylo1_id,phylo1_id,,,,,
phylo1_sci,phylo1_sci,,,,,
species_sci,species_sci,,,,,
phylo2_id,phylo2_id,,,,,
phylo2_sci,phylo2_sci,,,,,
phylo2_color,phylo2_color,,,,,
human_mrca,human_mrca,,,,,
brain_mass,brain_mass,Burger et al. 2019,,,Burger et al. 2019,
body_mass,body_mass,Burger et al. 2019,,,Burger et al. 2019,
bmr,BMR,"Basal metabolic rate, Genoud 2017",Basal metabolic rate,,Genoud 2017,
max_longevity,Maximum Longevity,"AnAge Build 15, de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",AnAge Build 15,,"de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",João Pedro de Magalhães recently suggested this ref for AnAge; I suggest also tracking the version number 
age_sexual_maturity,Age of sexual maturity (years),"AnAge Build 15, de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",AnAge Build 15,,"de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",João Pedro de Magalhães recently suggested this ref for AnAge; I suggest also tracking the version number 
max_longevity_res,Maximum longevity residual,"AnAge Build 15, de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",AnAge Build 15,,"de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",João Pedro de Magalhães recently suggested this ref for AnAge; I suggest also tracking the version number 
body_mass_anage,Body Mass (AnAge),"AnAge Build 15, de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",AnAge Build 15,,"de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908.",João Pedro de Magalhães recently suggested this ref for AnAge; I suggest also tracking the version number 
body_mass_counts,Body_Mass.g,"Body, mass in grams, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018",Body,mass in grams,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018",
Cerebellum_C.n,Cerebellum_C.n,"Cerebellum,  number of cells, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",Cerebellum, number of cells,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
Cerebellum_Mass.g,Cerebellum_Mass.g,"Cerebellum, mass (g), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",Cerebellum,mass (g),"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
Cerebellum_N.n,Cerebellum_N.n,"Cerebellum, number of neurons , JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018",Cerebellum,number of neurons ,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018",
Cerebellum_N.p.mg,Cerebellum_N.p.mg,"Cerebellum, neuronal density (in neurons/mg), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",Cerebellum,neuronal density (in neurons/mg),"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
Cerebellum_O.n,Cerebellum_O.n,"Cerebellum, number of other cells, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",Cerebellum,number of other cells,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
Cerebellum_O.p.N,Cerebellum_O.p.N,"Cerebellum, O/N, ratio between numbers of other (non-neuronal) cells and neurons, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",Cerebellum,"O/N, ratio between numbers of other (non-neuronal) cells and neurons","JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
Cerebellum_O.p.mg,Cerebellum_O.p.mg,"Cerebellum, other cells density (in cells/mg), HerculanoHouzel_etal_2015",Cerebellum,other cells density (in cells/mg),HerculanoHouzel_etal_2015,
CerebralCortex_C.n,CerebralCortex_C.n,"Cerebral cortex (including grey matter, white matter and hippocampus), number of cells , JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Cerebral cortex (including grey matter, white matter and hippocampus)",number of cells ,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
CerebralCortex_Mass.g,CerebralCortex_Mass.g,"Cerebral cortex (including grey matter, white matter and hippocampus), mass (g), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Cerebral cortex (including grey matter, white matter and hippocampus)",mass (g),"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
CerebralCortex_N.n,CerebralCortex_N.n,"Cerebral cortex (including grey matter, white matter and hippocampus), number of neurons , JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018","Cerebral cortex (including grey matter, white matter and hippocampus)",number of neurons ,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018",
CerebralCortex_N.p.mg,CerebralCortex_N.p.mg,"Cerebral cortex (including grey matter, white matter and hippocampus), neuronal density (in neurons/mg), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Cerebral cortex (including grey matter, white matter and hippocampus)",neuronal density (in neurons/mg),"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
CerebralCortex_O.n,CerebralCortex_O.n,"Cerebral cortex (including grey matter, white matter and hippocampus), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Cerebral cortex (including grey matter, white matter and hippocampus)",,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
CerebralCortex_O.p.N,CerebralCortex_O.p.N,"Cerebral cortex (including grey matter, white matter and hippocampus), O/N, ratio between numbers of other (non-neuronal) cells and neurons, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Cerebral cortex (including grey matter, white matter and hippocampus)","O/N, ratio between numbers of other (non-neuronal) cells and neurons","JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
CerebralCortex_O.p.mg,CerebralCortex_O.p.mg,"Cerebral cortex (including grey matter, white matter and hippocampus), other cells density (in cells/mg), HerculanoHouzel_etal_2015","Cerebral cortex (including grey matter, white matter and hippocampus)",other cells density (in cells/mg),HerculanoHouzel_etal_2015,
RoB_C.n,RoB_C.n,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum), number of cells , JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",number of cells ,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
RoB_Mass.g,RoB_Mass.g,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum), mass (g), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",mass (g),"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
RoB_N.n,RoB_N.n,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum), number of neurons , JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",number of neurons ,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
RoB_N.p.mg,RoB_N.p.mg,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum), neuronal density (in neurons/mg), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",neuronal density (in neurons/mg),"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
RoB_O.n,RoB_O.n,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum), number of other cells, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",number of other cells,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
RoB_O.p.N,RoB_O.p.N,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum), O/N, ratio between numbers of other (non-neuronal) cells and neurons, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)","O/N, ratio between numbers of other (non-neuronal) cells and neurons","JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
